Tempat,URL,Scrapping
Pantai Lombang,"https://www.google.com/maps/place/Pantai+Lombang/@-6.9178648,114.0563128,15z/data=!4m7!3m6!1s0x2dd9f7276ab8c685:0xe6566e3638889a6!8m2!3d-6.9155738!4d114.0586496!9m1!1b1",
Bukit Kapur Jaddih,"https://www.google.com/maps/place/Wisata+Bukit+Jaddhih/@-7.082283,112.7573509,17z/data=!4m7!3m6!1s0x2dd8045eb0acb79d:0x4a24af02fd796f55!8m2!3d-7.082283!4d112.7595396!9m1!1b1",
Arosbaya Limestone,"https://www.google.com/maps/place/Bukit+Pelalangan+Arosbaya/@-6.9474126,112.8573453,17z/data=!4m7!3m6!1s0x2dd8118ccaeea079:0x9e3453cf20842409!8m2!3d-6.9474126!4d112.859534!9m1!1b1",
Gili Labak,"https://www.google.com/maps/place/Gili+Labak/@-7.2033361,114.0104693,14z/data=!4m7!3m6!1s0x2dd751565082859f:0x4b078a71ade7b8d3!8m2!3d-7.2033376!4d114.046348!9m1!1b1",
Bukit Kapur Aermata (Bukit Pelalangan Arosbaya),"https://www.google.com/maps/place/Bukit+Pelalangan+Arosbaya/@-6.9474126,112.8573453,17z/data=!4m7!3m6!1s0x2dd8118ccaeea079:0x9e3453cf20842409!8m2!3d-6.9474126!4d112.859534!9m1!1b1",
Mercusuar Bangkalan,"https://www.google.com/maps/place/Mercusuar+Bangkalan/@-7.0603681,112.6723279,17z/data=!4m7!3m6!1s0x2dd80651e94998f9:0xc938ed02bba8bb51!8m2!3d-7.0603681!4d112.6745166!9m1!1b1",Y
Air Terjun Toroan,"https://www.google.com/maps/place/Air+Terjun+Toroan/@-6.8928897,113.3101345,17z/data=!4m7!3m6!1s0x2e0518178cebfebb:0xefcf0aa128f79400!8m2!3d-6.8928897!4d113.3123232!9m1!1b1",
Pantai Kemuning,"https://www.google.com/maps/place/Pantai+Siring+Kemuning/@-6.8851449,113.037494,14z/data=!4m7!3m6!1s0x2dd83f03fe87bf09:0xd8ff10671f39d4a2!8m2!3d-6.8851454!4d113.0550036!9m1!1b1",
Pantai Rongkang,"https://www.google.com/maps/place/Pantai+Rongkang/@-7.1644375,112.8244434,14z/data=!4m7!3m6!1s0x2dd81d6c42f1998f:0xa0fab6cee52db6c4!8m2!3d-7.164438!4d112.841953!9m1!1b1",
Masjid Agung Bangkalan,"https://www.google.com/maps/place/Masjid+Agung+Bangkalan/@-7.0291929,112.7440897,17z/data=!4m7!3m6!1s0x2dd8058c00000001:0xa4c2dd890723665a!8m2!3d-7.0291929!4d112.7462784!9m1!1b1",
