name,rating,review,duration
Ikbal Maulana,sebulan lalu, 1 bintang ,
asmat asmat,sebulan lalu, 5 bintang ,
Fathor Rahman,sebulan lalu, 4 bintang ,
Ahmad Fauzi,2 bulan lalu, 1 bintang ,
Rizki Amin,3 bulan lalu, 5 bintang ,
yuli yanto,6 bulan lalu, 5 bintang ,
Ahli Gigi SQ_Dental,9 bulan lalu, 5 bintang ,
Mubarok Channel,9 bulan lalu, 3 bintang ,
hikmah media,10 bulan lalu, 3 bintang ,Akses nya sulit
Bahri Yanto,setahun lalu, 5 bintang ,Mantap keren dan memuaskan
20-314_Izzah Miqdatul Kholifiah,setahun lalu, 1 bintang ,
Novrin Putri,setahun lalu, 1 bintang ,
Rafa,setahun lalu, 5 bintang ,
Masakkat Berkelas,setahun lalu, 5 bintang ,
Mauli diana,setahun lalu, 5 bintang ,
AFA Creator,setahun lalu, 5 bintang ,
Achmad Sudahri,setahun lalu, 5 bintang ,
Rino Berkelas,setahun lalu, 3 bintang ,Dimana tempatnya
MAZ iful pikachu,setahun lalu, 3 bintang ,
Edi Hariyanto,setahun lalu, 3 bintang ,
origami mania,setahun lalu, 2 bintang ,"Rumah saya dekat dengan air terjun ahadan
Sungai dari sebelumnya air terjun ada sebuah
Rumah sakit  jadi popok, obat, dan lain lain
Jadi sungai menjadi tercemar"
Muhammad Andriyanto,2 tahun lalu, 1 bintang ,"Kebersihann kurang dijaga... Untuk mad genot selaku jurkoncenah torbhugen... Harus sigap brantas sampah, tumpas habiskan ben kas rakasnya... 🙏😂"
Jiwa Seribu,2 tahun lalu, 4 bintang ,"(Diterjemahkan oleh Google) Oke

(Asli)
Ok"
Inunk Bebob,2 tahun lalu, 4 bintang ,Tempatnya bagus
Arifdo Gani,2 tahun lalu, 5 bintang ,Sangat bagus
Qamaruz Zaman al aidid Aidid,2 tahun lalu, 5 bintang ,
kikiy ramadhani,2 tahun lalu, 5 bintang ,tempatnya bagus
PUSAT DENTAL,2 tahun lalu, 5 bintang ,
dolah1 Dios,2 tahun lalu, 5 bintang ,Murah meriah
Zamroie dental,2 tahun lalu, 5 bintang ,pemesanan gigi palsu dan dll
Pray Media,2 tahun lalu, 5 bintang ,"(Diterjemahkan oleh Google) bagus

(Asli)
good"
Ach Wahid Mardiawan,2 tahun lalu, 5 bintang ,
Roihan Moh. Iqbal,2 tahun lalu, 3 bintang ,
ZAIN GIGI Veneer,2 tahun lalu, 5 bintang ,
NUCAN,2 tahun lalu, 5 bintang ,
TGH S,2 tahun lalu, 5 bintang ,
Heri Yanto,2 tahun lalu, 1 bintang ,Kurang waw
Muhammad Muzakki,2 tahun lalu, 5 bintang ,
Adi dental kepo,2 tahun lalu, 5 bintang ,
Mohamad Al_Hikmah,2 tahun lalu, 5 bintang ,Oke
Guntur Laep,2 tahun lalu, 5 bintang ,keren tempatx...kamu harus sampek sana
Hati ijah,3 tahun lalu, 5 bintang ,
Mas alie dental,3 tahun lalu, 5 bintang ,
Hariroh Dental,3 tahun lalu, 5 bintang ,Indah
Praktek gigi,3 tahun lalu, 5 bintang ,
Khoirul anam,3 tahun lalu, 5 bintang ,
Bahrurrohman,3 tahun lalu, 1 bintang ,Sepi banget
Fery Haryadi,3 tahun lalu, 3 bintang ,
ahmad sulton,3 tahun lalu, 5 bintang ,
Jefry Ansah,3 tahun lalu, 4 bintang ,
Alfares CF,3 tahun lalu, 5 bintang ,Air terjun ahatan merupakan tempat yg sejuk dan bagus... wisata ini masih belum di ketahui banyak orang
Santa Rosa,3 tahun lalu, 5 bintang ,Air terjun yang baik utk dikunjungi
