name,rating,review,duration
basuki mohamad,3 hari lalu, 5 bintang ,Tempat nya bagus ... Air terjun yang langsung kelaut.
fahmin xxx,seminggu lalu, 3 bintang ,parkis karcis. masuk air terjun karcis.
Fajar anugerah,2 minggu lalu, 1 bintang ,Banyak nyamuk
nari ratih,2 minggu lalu, 3 bintang ,
Faruk Ali,2 minggu lalu, 5 bintang ,
Ari Pradana,2 minggu lalu, 3 bintang ,
Wiwin RA,3 minggu lalu, 5 bintang ,Sangat Indah❤️
Syamsuddin Tulen,3 minggu lalu, 3 bintang ,
Oyeks Oyeks,3 minggu lalu, 5 bintang ,
Alfan Isubahry,3 minggu lalu, 5 bintang ,suasana alamnya masih asri
Andrey PW,3 minggu lalu, 5 bintang ,
Arikha Bilqis,4 minggu lalu, 4 bintang ,
septian dwi cahya,sebulan lalu, 5 bintang ,
masrifah,sebulan lalu, 4 bintang ,
elly erawati,sebulan lalu, 5 bintang ,Destinasi wisata unik di bagian utara pulau madura... Air terjun ke laut... Cocok untuk tempat hunting sunset... Cuma air lautnya sangat kotor tdk bisa dipakai main anak2 (kurang th juga apa mungkin pada waktu2 tertentu saja).... Harga …
siti rachimah,sebulan lalu, 5 bintang ,Tempatnya nyaman dan indah... Pokoknya gak bikin kita kecewa... 👍👍👍👍❤❤❤❤🇮🇩🇮🇩🇮🇩
Fiqhi Rahmatullah,sebulan lalu, 4 bintang ,Tempatnya bagus. HTM murah.
Wahyu Diamond,sebulan lalu, 5 bintang ,
Gavin Starkey,sebulan lalu, 4 bintang ,(Diterjemahkan oleh Google) Datang ke sini beberapa kali selama 5 tahun terakhir. Terlihat jauh lebih berkembang dan bersih. Makanannya enak dan parkir aman yang luas. Layanan di restoran tidak ramah pada kunjungan terakhir saya. …
Andri Bahtiar,sebulan lalu, 5 bintang ,Sesuai
Randy Azhariva,sebulan lalu, 4 bintang ,
avien smith,sebulan lalu, 4 bintang ,
Jasmien,sebulan lalu, 3 bintang ,Tempatnya bagus
My news 24,sebulan lalu, 5 bintang ,"(Diterjemahkan oleh Google) Bagus

(Asli)
Good"
Kristina Dameria,sebulan lalu, 4 bintang ,"(Diterjemahkan oleh Google) Pemandangan bagus air terjun dan area berada di jalan utama sehingga aksesnya begitu mudah.
tiket masuk gratis tetapi untuk parkir mobil harus membayar 10.000 rupiah per …"
Laisa Tude,sebulan lalu, 5 bintang ,"Air Terjun Yg Bagus, Banyak Spot Foto Yg Keren'"
Maskur Unlimited,2 bulan lalu, 3 bintang ,Lunayan
Teguh Firmanudin,2 bulan lalu, 3 bintang ,Kurang di kelola dengan baik sayang sekali
Badrus Soleh,2 bulan lalu, 1 bintang ,
Gabriella dè Levanya,2 bulan lalu, 4 bintang ,
Rizki Febrian Hamdani,2 bulan lalu, 2 bintang ,
Anto Prabowo,2 bulan lalu, 5 bintang ,"(Diterjemahkan oleh Google) Permata yang tersembunyi

(Asli)
Hidden gem"
Saiqul Bahri,2 bulan lalu, 5 bintang ,
Amin Oziel,2 bulan lalu, 5 bintang ,Lumayan lah
Faisol Junaidi,2 bulan lalu, 5 bintang ,Bisa di bilang satu²nya air terjun di pulau madura...👍👍
Hendra Susanto,2 bulan lalu, 5 bintang ,"Mantap viewnya bagus banget, terlihat masih asri dan air terjunnya langsung ke pantai"
Icank Icank,2 bulan lalu, 5 bintang ,Pemandangan yg amat indah
