name,rating,review,duration
Yank Rhama,20 jam lalu, 5 bintang ,
Ayah Arip,3 hari lalu, 5 bintang ,
hilsum muhammad,4 hari lalu, 3 bintang ,
Azizah El_fharichah,6 hari lalu, 3 bintang ,
Jufri Yadi,seminggu lalu, 5 bintang ,Sopir truk oleng
Ana The Twin,seminggu lalu, 3 bintang ,Kurang tertarik dengan tempat wisata ini karena hanya terlihat area yang dipahar dengan beberapa api yang muncul dari tanah.. tapi lumayan banyak pedagang sehingga bisa dijadikan tempat belanja dan oleh-oleh buat keluarga dirumah.
Zevi Aga Indi Ainun Mila,seminggu lalu, 5 bintang ,
Yudi Prabowo,seminggu lalu, 3 bintang ,
AHW CHANNEL,seminggu lalu, 3 bintang ,Coba di kelola profesional akan menambah PAD
umiatul hasanah,seminggu lalu, 5 bintang ,Menyenangkan
RUMAH LAUNDRY,seminggu lalu, 5 bintang ,
Lola Lola,seminggu lalu, 5 bintang ,
arifin katik,seminggu lalu, 5 bintang ,"Fenomena alam yg dimiliki pamekasan ini luar biasa, dekat jalan raya barat Pamekasan. Sebaiknya
Datang pada saat mentari sudah menjauhi ufuk barat, parkir luas, toiletnya bersih, toko toko penjual sovenir atau oleh2  banyak sekali"
Hendro Wahyudi,seminggu lalu, 3 bintang ,Perlu penataan dan penguatan kelembagaan
Indra Ary S,seminggu lalu, 5 bintang ,Bagus
Wahyu Aljamili,2 minggu lalu, 5 bintang ,
Fin Katiq,2 minggu lalu, 5 bintang ,"Fenomena alam ini layak untuk diabadikan saat matahari dah menggelinding di ufuk barat. Ada parkir, ada bakaran langsung tanpa korek api dan bahan bakarnya.
Gratis tanpa tiket masuk, dan pusat oleh2nya dr hasil bumi dan hasil kerajinan warga setempat,"
Herida Madaya,2 minggu lalu, 3 bintang ,fasilitas perlu ditingkatkan. krn ini termasuk tempat wisata yg jadi tujuan wisatawan luar pamekasan.
APA Gak suka,2 minggu lalu, 3 bintang ,
Soesty Wulandari,2 minggu lalu, 2 bintang ,Baca dr netizen sepertinya tidak rekomended ya fasilitasnya dengan tiket2 sesuau keperuntukkannya
Grosir buah Ais Store Malang (Asma),2 minggu lalu, 5 bintang ,
Bogang's #14,2 minggu lalu, 3 bintang ,
Rian Arif,2 minggu lalu, 5 bintang ,
Sohebur Ramli,2 minggu lalu, 5 bintang ,
Saiful Arif,3 minggu lalu, 3 bintang ,Lumayan sih buat sekedar tau
Kang Lemit,3 minggu lalu, 1 bintang ,Sngat lelet
Slamet Santoso,3 minggu lalu, 4 bintang ,
Dewi 'Aysi Karomatul Hasanah,3 minggu lalu, 3 bintang ,"Tempatnya unik bisa bakar"", tapi kurang terawat & tertata
Harusnya ada management"
Iin Damayanti,3 minggu lalu, 5 bintang ,
Dwi Nanda Junita,3 minggu lalu, 5 bintang ,
Afik Rahman,3 minggu lalu, 5 bintang ,
faisal ahmad,3 minggu lalu, 4 bintang ,mantap sih bisa bakar jagung sendiri
Royhan Fahrezy,3 minggu lalu, 5 bintang ,"Bagus sekali subhanallah apinya tak padam"""
Agung Nugroho,3 minggu lalu, 5 bintang ,
Master Zein,4 minggu lalu, 5 bintang ,
Ilham Ramdhani,4 minggu lalu, 5 bintang ,
Agung Nugroho,4 minggu lalu, 5 bintang ,
Ernaaa Wati,4 minggu lalu, 5 bintang ,
Huri Accord,4 minggu lalu, 5 bintang ,
Fadiladwi Astutik,4 minggu lalu, 5 bintang ,
Sofyan Wmx,sebulan lalu, 5 bintang ,Arah k TKP kurang jelas jadi harus teliti betul ..tempat parkir tidak rata/bergelombang ..rata boleh
Febie Ani,sebulan lalu, 4 bintang ,
Toni Sopyan,sebulan lalu, 5 bintang ,Dapat dijadikan tempat wisata edukasi  alam
Zun Najmi Bima Setyo,sebulan lalu, 5 bintang ,
rijal rahman,sebulan lalu, 5 bintang ,
Irma Muzaiyaroh,sebulan lalu, 5 bintang ,ada beberapa titik api yang menyala dan dilindungi pagar... Banyak aneka barang yang dijual juga... Bisa bakar jagung sendiri juga
KC CAYLAA CANS,sebulan lalu, 3 bintang ,
Yoepy Priyono,sebulan lalu, 2 bintang ,"Kurang dikelola dengan baik, jadi kesannya kumuh"
Imam Fathoni,sebulan lalu, 5 bintang ,Bagus
Khozinul Asror,sebulan lalu, 5 bintang ,Apinya benar-benar
Rizky Amalia Jasmine,sebulan lalu, 5 bintang ,"- wisata yang unik
- ada toilet
- ada mushola …"
susi aprilia,sebulan lalu, 5 bintang ,Bagus tempat nya dan ramah lingkungan
Agus Winarto,sebulan lalu, 5 bintang ,"Mantap, meskipun apinya kecil tpi tetap suatu keajaiban"
Aryan,sebulan lalu, 5 bintang ,Wisata yg sangat natural banget...
