name,rating,review,duration
Della Lorenze,1 hari lalu, 5 bintang ,
45 ismi Sulistia,1 hari lalu, 5 bintang ,Sangat menghargai perbedaan dan menjunjung tinggi toleransi
Ade Susanto,1 hari lalu, 5 bintang ,
Dudunk Romero,seminggu lalu, 5 bintang ,Sangat debbes
Jonathan Wijaya,2 minggu lalu, 5 bintang ,
Cassia,2 minggu lalu, 5 bintang ,"(Diterjemahkan oleh Google) terletak cukup jauh dari suramadu, pengunjung tidak begitu banyak tapi staf sangat ramah dan membantu …"
milano 2188,sebulan lalu, 5 bintang ,
Ajiessy Rentcar,sebulan lalu, 5 bintang ,
Ansco 343,sebulan lalu, 5 bintang ,
DANNY Wijaya,2 bulan lalu, 5 bintang ,
hendra sugalimin,2 bulan lalu, 5 bintang ,Mantap jasa
Lo Itoh,3 bulan lalu, 5 bintang ,"Pertama x ke vihara ini 1997
Ada peninggalan arca/patung Kwan Im versi Jawa yg diketemukan (berusia sekitar 700 tahun 0leh seorg petani disitus tsb(daerah Candi-Pamekasan) selagi mencangkul …"
dony windarto,4 bulan lalu, 5 bintang ,
Dullatëp,5 bulan lalu, 5 bintang ,"Kuil Tri Dharma (Budha, Konghucu, Tao) plus kuil Hindu dan Musholla. Tempatnya bersih terawat, tempat parkir luas dengan fasilitas penginapan."
Y.INDRATMOKO,6 bulan lalu, 5 bintang ,
Susanto Susanto Sansan,6 bulan lalu, 5 bintang ,Oke gooooooooD
Badrul Akhmadi,6 bulan lalu, 4 bintang ,Eksotik
Aroel Akhmed,6 bulan lalu, 4 bintang ,
aroel akhmed,6 bulan lalu, 5 bintang ,
Martinus Natadiredja,6 bulan lalu, 5 bintang ,Tempat doa yg tenang...
saus kacang,7 bulan lalu, 5 bintang ,"(Diterjemahkan oleh Google) tempat sepi, jauh dari keramaian.. ada tempat menginap di belakang vihara bagi yang sholat …"
Yaya Zainal,7 bulan lalu, 5 bintang ,Vihara yang 2 kali mendapatkan rekor MURI untuk kategori Vihara terunik dengan tempat ibadah lain di dalamnya (Pura dan Mushalla) juga kategori Pagelaran wayang kulit dengan Penampil pendukung dari 10 negara. …
Rony Sastra,7 bulan lalu, 5 bintang ,"Untuk tamu disediakan tempat tidur dan kamar mandi yang bersih. Juga disediakan makan, petugasnya ramah dan sopan"
Gunawan Yang,8 bulan lalu, 5 bintang ,Vihara yang Asri dan Nyaman.
Oldri Gan,8 bulan lalu, 4 bintang ,Sejuk
Farell Stephen,8 bulan lalu, 5 bintang ,
Andrew Darwis,8 bulan lalu, 5 bintang ,
Lindsay Yonatan,9 bulan lalu, 5 bintang ,"(Diterjemahkan oleh Google) Tenang dan memiliki ruang retret

(Asli) …"
Moh Sholehoddin,9 bulan lalu, 5 bintang ,
