name,rating,review,duration
Muhammat Rosi,sebulan lalu, 5 bintang ,
Adi Budiarto,sebulan lalu, 4 bintang ,
Kholilur Rahman,sebulan lalu, 3 bintang ,Tak terurus dwngan baik.
Syaiful Bahri,sebulan lalu, 5 bintang ,
Abd Munim,2 bulan lalu, 5 bintang ,
panji laras 109,2 bulan lalu, 5 bintang ,
Wasilul Khair,3 bulan lalu, 2 bintang ,
Muhammad Zainuddin Rafli,3 bulan lalu, 3 bintang ,"Tempat nya sangat cocok buat foto-foto
Tapi tempat ini sudah tidak di buka"
mohammad zaini,6 bulan lalu, 5 bintang ,
mhyw,8 bulan lalu, 1 bintang ,
Nisha Hany,9 bulan lalu, 3 bintang ,View sangat bagus tapi tempat tidak terurus...parkir mobil tidak ada susah untuk putar balik tidak ada toilet tidak ada yg jual makanan. Sebenarnya potensi tempat sangat bagus tapi tidak ada inisiatif dari desa untuk mengelola.
Patrisa Kumalasari,10 bulan lalu, 2 bintang ,"Tidak terawat, padahal pemandangan bagus kalo dari atas."
Hafif Rahman,10 bulan lalu, 1 bintang ,Anjing
Ààf Jùñîør,11 bulan lalu, 3 bintang ,
Dzulfahmi Anshory,11 bulan lalu, 4 bintang ,
Fitriyah,setahun lalu, 3 bintang ,
Nurdin Rizqiansyah,setahun lalu, 5 bintang ,"Saya dari jember...
Kemaren menyempatkan berkunjung ke sini...
Akses jalan lumayan bagus... …"
Lindhaee Eee,setahun lalu, 2 bintang ,
saiful anwar,setahun lalu, 5 bintang ,
Maz Apip,setahun lalu, 1 bintang ,
Arrohman Cell,setahun lalu, 1 bintang ,
Sang Widi,setahun lalu, 4 bintang ,Bagus.....perlu dkembangkan lg destinasi wisatax....!!
Mohammad Ard,setahun lalu, 5 bintang ,Tempat bagus dan indah jika melihat pemandangan disana karena tempatnya dipuncak
LTI Express,setahun lalu, 5 bintang ,Tempat makan enak
Igam Amirullah,setahun lalu, 4 bintang ,"Untuk pemandangan lumayan bagus, karena bisa melihat pemandangan "" Yg berada Dibawah bukit seperti pohon"" Dan desa yg berada di sekitar,, cuma untuk wisata tersebut sekarang kurang terawat ada sampah"" Berserakan dan untuk biaya masuk sepeda motor 2 orang yg menaiki di Tarif 10k sebelum masuk/dibawah bukit."
Imam Anshori,setahun lalu, 4 bintang ,Kurang terawat
Ach Junaidi Junaidi,setahun lalu, 5 bintang ,Panorama alam nya bagus
Muyank Gariro,setahun lalu, 4 bintang ,Tempat lumayan baguss
k. anam,setahun lalu, 5 bintang ,
Ropidah Ida,setahun lalu, 1 bintang ,
