name,rating,review,duration
Ifan Fatlur rahman,2 bulan lalu, 1 bintang ,Tempatnya sudah lama tutup
azka naurel barera,2 bulan lalu, 5 bintang ,
Anisa Amalia,2 bulan lalu, 1 bintang ,Tempat ini sudah tutup..tidak beroperasi lagi.. Dan sudah berganti jadi perumahan.. 😭 jauh2 kesana ternyata zonk
Arkana alvarisi Saputra,2 bulan lalu, 5 bintang ,
Atiq Abd Kholiq,7 bulan lalu, 1 bintang ,"Tempatnya sudah gak ada wooyy, tadi saya habis dari sana, ternyata sudah jadi perumahan.. mbah gugel maps gak update nih 😂😂"
Kadar Bacox,9 bulan lalu, 5 bintang ,
Indra K,9 bulan lalu, 3 bintang ,
rahman abd,9 bulan lalu, 2 bintang ,"tempatnya sudah digusur, berubah jadi perumahan."
Cinthya Anaya Cahyani,10 bulan lalu, 5 bintang ,
Fandi Official,setahun lalu, 3 bintang ,
Hilal Isti mewah,setahun lalu, 4 bintang ,Wisata yuhu yoyo mantab ni sik asik yuk mari
Indra Muliyanti,setahun lalu, 1 bintang ,
Sumarto Jaya,setahun lalu, 5 bintang ,
Widya Putri R (Widyaa),setahun lalu, 3 bintang ,
Haji Bombom,setahun lalu, 5 bintang ,Udah tutup.. kpan buka lagi ?
opank azzha,setahun lalu, 5 bintang ,
Hendra Prayudi,setahun lalu, 3 bintang ,"sudah tutup, bangkrut"
Maman Odienkz,setahun lalu, 5 bintang ,
Nabila Ketcil,setahun lalu, 4 bintang ,
Erna Setiyowati,setahun lalu, 3 bintang ,"Tempatnya kurang terawat. Toilet kotor, ada laba"" dan kodok, gelap, tdk ada lampu. Sampah berserakan di samping gazebo tempat duduk"". Sayang banget padahal bagus"
Imam Anshori,setahun lalu, 4 bintang ,
Moh Faiz,setahun lalu, 5 bintang ,
muhammad iqbal j,setahun lalu, 5 bintang ,
DINASTY,setahun lalu, 4 bintang ,Gowes di bumi gerbang salam
Sadirboy dirman,setahun lalu, 3 bintang ,"airnya kotor,  kasihan anak anak yang mandi."
Soheb Rahman,setahun lalu, 3 bintang ,
Cutemonster,setahun lalu, 2 bintang ,"(Diterjemahkan oleh Google) Jaraknya sekitar 3 km dari pusat kota.
Layanan seperti sepeda Gojek atau sepeda Grab dengan mudah tersedia untuk membawa Anda ke sini. …"
Baba. Sreank,setahun lalu, 4 bintang ,Rame
Ratu Pamelingan,setahun lalu, 3 bintang ,
Halili Batik,setahun lalu, 5 bintang ,
Nanda De,setahun lalu, 3 bintang ,
AS2 PROJECT - Ach Safee,setahun lalu, 5 bintang ,Tempat yang bagus dan nyaman untuk wisata keluarga
Kurniawan Irwan,setahun lalu, 4 bintang ,Tempatx sih strategis&tmpt parkir Luas
Mohammad Rahman,setahun lalu, 5 bintang ,
Danan Prasetyo,setahun lalu, 5 bintang ,
Nabiel Nasywa,setahun lalu, 5 bintang ,
NisyaSeptikP SH,setahun lalu, 5 bintang ,
Bachtiar Raziqi,setahun lalu, 3 bintang ,(Diterjemahkan oleh Google) Ini adalah tempat yang bagus untuk menyegarkan pikiran Anda. Ayo masuk dengan keluargamu. Harga tiketnya wajar .. …
Karina Septiani,setahun lalu, 5 bintang ,
siti maisaroh,setahun lalu, 3 bintang ,
Madura Update,setahun lalu, 4 bintang ,Mayan lah..
Rozi Roziqi,setahun lalu, 4 bintang ,
Nur Fitria Ningsih,setahun lalu, 5 bintang ,Bukit cinta
Jhoo Nee,setahun lalu, 1 bintang ,Harga tiket mahal 20rb tapi wahana banyak yang gak d urus alias terbengkalai
Pratama Ulfie,setahun lalu, 2 bintang ,
virgia ningsih,setahun lalu, 5 bintang ,
ayu lestari,setahun lalu, 4 bintang ,"Bagus untuk tempat quality time bersama keluarga maupun sahabat, anak-anak bisa berenang dan sepuasnya main air, banyak spot untuk berfoto"
Edy Varsez,setahun lalu, 5 bintang ,
Ach. Tatang,setahun lalu, 5 bintang ,Bagus
pejuang subuh23,setahun lalu, 1 bintang ,Sangat cocok untuk habiskan hari libur bersama pacar/keluarga
Koesnul yakin,setahun lalu, 3 bintang ,Harga tiket murah namun yang mengecewakan tidak ada ruang ganti (shower room) untuk orang dewasa yang tertutup pintu (yang ada cuman bentuk tirai bambu dan sudah rusak) sehingga terkesan mengumbar aurat ke orang lain
Linda Wati,setahun lalu, 3 bintang ,
Sugi Sedunia,setahun lalu, 4 bintang ,Sudah banyak yang berubah.. mungkin karna ada virus corona jadi  gak terawat karna sepi pengunjung
HERAWAN OETOMO,setahun lalu, 4 bintang ,W👍
M zuro,setahun lalu, 4 bintang ,Lumayan bagus
Imam Yahya,setahun lalu, 2 bintang ,
Toto Hartoko,setahun lalu, 5 bintang ,"Tempat yang cocok untuk memanjakan anak"""
Cettas Official,setahun lalu, 4 bintang ,
Rosi Rayders,setahun lalu, 5 bintang ,
Alviqa Istighfarini,setahun lalu, 4 bintang ,"Baru pertama kali ke BCP.
Tempatnya sih lumayan bagus.
Ada kolam renangnya. …"
umnia ummah,setahun lalu, 4 bintang ,
Bagus.M2845,setahun lalu, 5 bintang ,
Abu Faqih Mukhtar,setahun lalu, 4 bintang ,
Budi Rosi,setahun lalu, 5 bintang ,Mantap
Asyari Efendy,setahun lalu, 5 bintang ,
Shoohibur Ridho,setahun lalu, 3 bintang ,
makmun juhar,setahun lalu, 3 bintang ,"Kebetulan paz kesana hari senin,,jadi tempatnya sepi😅😅😅,,gag jauh dari pusat kota,,tmpatx lumayan bagus ,,hrga ticket msukx 20k"
Zacky Rizand,setahun lalu, 4 bintang ,
Marsini I,setahun lalu, 3 bintang ,bagus
"MUAMAR ALI AKBAR, S.FIL.I",2 tahun lalu, 5 bintang ,"(Diterjemahkan oleh Google) Tempat yang bagus untuk rekreasi

(Asli)
Nice place to recreation"
mas jacper,2 tahun lalu, 5 bintang ,Sip
Shofi Saed123,2 tahun lalu, 5 bintang ,
ari tantastik,2 tahun lalu, 5 bintang ,
Achmad Fatihul Huda,2 tahun lalu, 5 bintang ,👍👍
Herida Madaya,2 tahun lalu, 3 bintang ,Lumayan drpd diem dirumah... Hanya usul buat pengelola... Sediain kolam dewasa dong... Trus kalo siang kita serasa dijemur sampe kering... Jadi tambahin pohon pohon rindang atau peneduh... Tingkatkan kebersihan... Tambahin lagi spot …
Latif Gresik,2 tahun lalu, 5 bintang ,"Gadis madura cantik"" yak.. 👍👍👍"
Juriya Tuzzahroh,2 tahun lalu, 4 bintang ,
Hari yadi,2 tahun lalu, 4 bintang ,"Destinasi wisata untuk keluarga dan untuk foto foto, baiknya pagi dan sore keaini pada waktu tidak hujan, ada musholla, toilet, semoga selalu terjaga kebersihannya"
david letto,2 tahun lalu, 5 bintang ,
Ahmad Humaidi,2 tahun lalu, 5 bintang ,
Herman SJG,2 tahun lalu, 5 bintang ,
Moh Said,2 tahun lalu, 5 bintang ,Bagus
ahmad zubair,2 tahun lalu, 4 bintang ,
Ainur Rizqi,2 tahun lalu, 2 bintang ,Bukit buatan
fani rochmah,2 tahun lalu, 5 bintang ,
rayhan cakep,2 tahun lalu, 3 bintang ,Tempat rekreasi dan  bersantai keluarga
Mtaufiq Amirazp,2 tahun lalu, 5 bintang ,Tempat bagus....
Farid Aulia Rahman,2 tahun lalu, 4 bintang ,"agak berbeda dengan ekspektasi, tapi masih worth it untuk dikunjungi"
ABDUL RAHMAN,2 tahun lalu, 5 bintang ,
Imam Wijaya,2 tahun lalu, 3 bintang ,Fasilitas msh kurang
Elfia Qotrunnada,2 tahun lalu, 5 bintang ,
Andi Lengleng,2 tahun lalu, 2 bintang ,
Syamsul Jamal,2 tahun lalu, 5 bintang ,Bagus
Mohammad Dasuki,2 tahun lalu, 5 bintang ,Bukit cinta
Kiki Bsl,2 tahun lalu, 3 bintang ,
Hidayat Gojek,2 tahun lalu, 5 bintang ,
Moh Nasirullah,2 tahun lalu, 5 bintang ,Bagus untuk berenang
Endang Heriyani,2 tahun lalu, 5 bintang ,
syamsul camb,2 tahun lalu, 1 bintang ,
Dewi Kartika,2 tahun lalu, 4 bintang ,Lumayan bagus...cuma warna warna catnya sudah mulai memudar butuh dicat ulang kayaknya....
Subri Yanto,2 tahun lalu, 4 bintang ,Bagusss
Siti Nur Ulfa Romadhani,2 tahun lalu, 5 bintang ,
Van Yasa,2 tahun lalu, 4 bintang ,
tirmelia,2 tahun lalu, 5 bintang ,
Muhammat Al farizi,2 tahun lalu, 1 bintang ,
H.Mustofa. lele goyang Mustofa,2 tahun lalu, 4 bintang ,
Andiono Fian,2 tahun lalu, 1 bintang ,
Iin Fajar Duhri Saputri,2 tahun lalu, 5 bintang ,
Azzamhafid Asrorri (Azzam Azzril),2 tahun lalu, 5 bintang ,"Mungkin lebih bagus kalo kolamnya ada penutupnya,biar teduh"
slavi shop,2 tahun lalu, 5 bintang ,
Wigananda Firdaus,2 tahun lalu, 2 bintang ,
Eko Ebez,2 tahun lalu, 4 bintang ,
Mifta Jannah,2 tahun lalu, 4 bintang ,
Ferdi Sakaw,2 tahun lalu, 5 bintang ,
Mudiatun Holidah,2 tahun lalu, 3 bintang ,"Kalau lagi panas gak seru apalagi hujan,, jadi di dua musim itu sangat tidak menarik."
luz philuz,2 tahun lalu, 5 bintang ,
Kompak ada,2 tahun lalu, 5 bintang ,
Emon Madura,2 tahun lalu, 3 bintang ,
Ruham Doankz,2 tahun lalu, 4 bintang ,Nyaman bagus untuk liburan
ARIENGGO,2 tahun lalu, 5 bintang ,nyaman dan sejuk
Alifatus Zahroh,2 tahun lalu, 2 bintang ,
Abbes Jailani,2 tahun lalu, 3 bintang ,
Opank Van Nael,2 tahun lalu, 3 bintang ,
Ardiansyah Putra,2 tahun lalu, 4 bintang ,
