name,rating,review,duration
Sanjaya Budiono,1 hari lalu, 4 bintang ,
Andrew Santoso,5 hari lalu, 5 bintang ,"(Diterjemahkan oleh Google) Bagus

(Asli)
Nice"
febri andrianto,4 minggu lalu, 3 bintang ,"Bagus banyak tempat instagramabel, dan masih sangat bisa dikembangkan lagi menjadi wisata yang hits.."
Fiki Maulana,4 minggu lalu, 5 bintang ,
SAM Channel,sebulan lalu, 5 bintang ,
Alqisthi Ahmad,sebulan lalu, 5 bintang ,"tempat di ujung sumenep madura, tempat asik buat healing di pedesaan yang bersahaja... …"
HOSIB chanel,sebulan lalu, 5 bintang ,
jefri permana,sebulan lalu, 5 bintang ,
Prananto Intijaya,2 bulan lalu, 1 bintang ,"Kamar mandi KOTOR DAN JOROK.
Kapok deh kesitu lagi"
makmun erfandi,2 bulan lalu, 1 bintang ,Tempatnya sudah tidak terawat
Mekanik Muda Madura,4 bulan lalu, 5 bintang ,
Candra yani,4 bulan lalu, 3 bintang ,Pemandangan sih bagus tapi Parkir kurang aman sangat disayangkan ada oknum yg sengaja menukar tutup kunci vario 150 punya saya di ambil dan ditukar sama yg rusak. Saya taunya pas sdh dikota mau balik sudah kejauhan. Cukup tau sekali...
Opick Ajah,4 bulan lalu, 3 bintang ,Sekarang tempatnya kurang terawat
FMB I C A N K,6 bulan lalu, 5 bintang ,Bagus
Imam Sudays,6 bulan lalu, 5 bintang ,"Tempatnya bagus,pemandangan bernuansa alam."
Naufan Noordyanto,6 bulan lalu, 5 bintang ,"(Diterjemahkan oleh Google) Keren buat jalanan

(Asli)
Asik buat jalan-jalan"
Caffe JSK,7 bulan lalu, 5 bintang ,Enak sambil lalu Karaoekan
rahman abd,7 bulan lalu, 4 bintang ,"spot fotonya bagus terutama di sepeda gantung, gak kalah sama tempat wisata yang lain yang serupa."
"Ikhlash Fitrianto, SKM",7 bulan lalu, 5 bintang ,
HARYADI KURNIAWAN,7 bulan lalu, 5 bintang ,"Sebuah bukit yang dikelola masyarakat dengan baik dan bagus untuk wisata. Sisi lain madura biar ga pantai pantai saja terus, madura pada umumnya dan Sumenep khususnya punya wisata yang bagus. Kita bisa berwisata diketinggian dan berfoto ria …"
Izza Nafsi,7 bulan lalu, 5 bintang ,
Kia Rokiah,7 bulan lalu, 4 bintang ,Pemandanganny indah dilihat dr atas.. tp sayang kurang perawatan pasilitasny. Pdhl tempatny bagus.
Elly Kurniasari,7 bulan lalu, 3 bintang ,"Tempat masih oke, tapi daun daun sudah tidak di sapu, seperti tidak di rawat lagi, mungkin karna sudah mulai sepi pengunjung."
Widhi Lamong,7 bulan lalu, 4 bintang ,Tempat yg nyaman
Adit Nugget,7 bulan lalu, 5 bintang ,
Astrida Rizqiardhina,7 bulan lalu, 3 bintang ,"Pemandangan dari atas bagus, udaranya segar, tapi akses jalan menuju lokasi wisata masih jauh dari layak (jalan sempit menembus kampung, hanya muat untuk 1 mobil), fasilitas tempat wisata juga masih sangat kurang"
Ojan Ojan,8 bulan lalu, 5 bintang ,"Belum sempat masuk ke dalam tempat wisata sih, tapi pemandangan dari luarnya aja sudah ok."
Alan Azure98,8 bulan lalu, 5 bintang ,
Nur Hasanah,8 bulan lalu, 5 bintang ,Sangat menyenangkan
