name,rating,review,duration
belajar gaming,setahun lalu, 5 bintang ,
Kikis Sapto Purnomo,setahun lalu, 5 bintang ,
Yulia Hadiyati,setahun lalu, 4 bintang ,Cukup nyaman untuk liburan terdekat di Madura...
AS2 PROJECT - Ach Safee,setahun lalu, 5 bintang ,Wisata keluarga enak nih
nabil musyarraf,setahun lalu, 5 bintang ,Kantor Agency Event dan SPG
Wagiyanto R,setahun lalu, 5 bintang ,Lengkap wahananya gak usah jauh jauh
DuaBelas MM Sittong,2 tahun lalu, 5 bintang ,
Adam Sandys,2 tahun lalu, 5 bintang ,
shodiqin,2 tahun lalu, 5 bintang ,
Hari yadi,2 tahun lalu, 5 bintang ,"Destinasi wisata keluarga buka 09.00 - 17.00 wib dan cocok juga untuk pesta ultah, ada waterboom, flying fox, panahan. dll, semoga menyenangkan"
Ari Zulkarnaen,2 tahun lalu, 5 bintang ,
Ungkapan Semu,2 tahun lalu, 1 bintang ,Biasa saja
Safana Wisata,2 tahun lalu, 3 bintang ,
Dimas Angga,2 tahun lalu, 3 bintang ,
Holis Anshori,2 tahun lalu, 5 bintang ,
maman CLM,2 tahun lalu, 5 bintang ,
Deniely svt,2 tahun lalu, 5 bintang ,
Nur Indah Firdausi,2 tahun lalu, 5 bintang ,
Abdul Mujib,2 tahun lalu, 5 bintang ,"Lama gak ke sini, pengen...."
Nunuk Aini,2 tahun lalu, 3 bintang ,Tempat parkir sangat sempit ..HTM 20 rb.cocok tuk selfi anak anak muda..dan aman tuk anak2 KECIL  berenang
muhammad afif,2 tahun lalu, 5 bintang ,
Zen Akbar,2 tahun lalu, 5 bintang ,
maulidatul kamilah,2 tahun lalu, 5 bintang ,Tempatnya bagus ada banyak permainan untuk anak2 dan berbagai spot foto yang bagus
Teror Serdadu YT,2 tahun lalu, 5 bintang ,
KHENDY FH,3 tahun lalu, 4 bintang ,"Lumayan, klo bisa ambil foto spotnya instagramable"
Purwono Acdc,3 tahun lalu, 5 bintang ,
lilis suyati,3 tahun lalu, 1 bintang ,
AHSAN ZAMROWI,3 tahun lalu, 5 bintang ,"Tempatnya keren, nyaman, indah, bersih. Pokoknya the best 👍"
