name,rating,review,duration
mamay happy,sebulan lalu, 5 bintang ,rindu euy
Roni Setiawan,3 bulan lalu, 5 bintang ,
Citra Amalia,6 bulan lalu, 5 bintang ,Bagus banget pantainya.. seperti privat island. Ada penginapan juga.
Kukuh Ari Pambudi,6 bulan lalu, 5 bintang ,pulau yang cocok untuk orang yang ingin berwisata dengan nuansa laut lepas tanpa halangan dari pohon apalagi sampah plastik
Surya Kelana,6 bulan lalu, 5 bintang ,
salman alfaridziyanto,7 bulan lalu, 4 bintang ,"(Diterjemahkan oleh Google) Perlu lebih banyak perawatan tentang sampah

(Asli) …"
yuli winawati,10 bulan lalu, 5 bintang ,
Aji Kusumaning,11 bulan lalu, 4 bintang ,
Ilham Akbar,setahun lalu, 5 bintang ,
Achmad Rofiqi,setahun lalu, 4 bintang ,"Indah sekali pemandangan pantai nya. Air lautnya juga biru, dan juga bisa bermalam disini."
Hafiluddin,setahun lalu, 5 bintang ,"Tempatnya sangat keren
Enak buat santai …"
113_Suci Wulandari,setahun lalu, 5 bintang ,Bagus bngt😍harga jajanannya gak mahal😆Pantainya cantik😍
Moh Febian,setahun lalu, 5 bintang ,
Noery Cb,setahun lalu, 5 bintang ,
DESI NATALIA (Dessy),setahun lalu, 5 bintang ,Pulau yg eksotik menawan cantik mempesona hamparan pasir putih yg halus ombak yg landai membuat pulau ini sgt asri sejuk nyaman😍😍😍😍😍😍 ciptaan Allah sungguh menakjubkan ✨😍😍😍😍😍 terletak dekat dgn pantai sembilan
Izzed Ritfi,2 tahun lalu, 5 bintang ,"Gili genting adalah pulau yang mungil, mengelilinginya hanya butuh 1 jam perjalanan. Waktu itu kami ber 6 mengunjungi pulai ini. Dan nge host drumah Pak soleh yang ramah. Kami dlayani semuanya oleh pak soleh, mulai penjemputan di pelabuhan …"
Adinda Suherman,2 tahun lalu, 5 bintang ,
Joe Arie,2 tahun lalu, 5 bintang ,
Kenrisa Krisdiana,2 tahun lalu, 5 bintang ,"(Diterjemahkan oleh Google) Tempat yang bagus

(Asli)
Good place"
