name,rating,review,duration
Alfin Maualana,2 bulan lalu, 5 bintang ,Sangat baik dan luar biasa pelayanan baik sekali
Fegi Top up,3 bulan lalu, 5 bintang ,Tempat yg sejuk dan nyaman
Ru Di,4 bulan lalu, 5 bintang ,
Salamun Salam,4 bulan lalu, 5 bintang ,Sebulan di sini paru paru jadi sehat.
Misnadi adi,9 bulan lalu, 5 bintang ,
Dody Kurniawan,9 bulan lalu, 5 bintang ,Oke
Zam Roni,9 bulan lalu, 5 bintang ,Mantab
Kaconk Basri80,10 bulan lalu, 1 bintang ,
FROMS El-Faithony,10 bulan lalu, 5 bintang ,
Subur Subur,11 bulan lalu, 5 bintang ,
Ikslas Khece,11 bulan lalu, 5 bintang ,Sangat memuaskan
Warda 84,setahun lalu, 5 bintang ,Sumenep Kaya
Hermus Ariadi,setahun lalu, 5 bintang ,
Tan Johanes Budiman,setahun lalu, 5 bintang ,
Alfyananda Kurnia Putra,setahun lalu, 5 bintang ,"(Diterjemahkan oleh Google) Ada lokasi goa karst

(Asli)
Terdapat lokasi goa kars"
Calon Karkun Jos,setahun lalu, 5 bintang ,Alhamdulillah ... Pokok e Alhamdulillah... Di syukuri ... tasyakuran binni'mah
Miyamiki Miyamiki,setahun lalu, 5 bintang ,
Mat Hawan,setahun lalu, 1 bintang ,Mantap
agus baguss,setahun lalu, 3 bintang ,
DESI NATALIA (Dessy),setahun lalu, 5 bintang ,"Pulau dgn kandungan oksigen tertinggi kedua di dunia, banyak tempat wisata di dalam pulau Gili Iyang yg bisa diexplore bagi para wisatawan yg ingin berkunjung"
Aya Nur,setahun lalu, 4 bintang ,
Omponk Lyno,2 tahun lalu, 4 bintang ,"Jadwal kapal acak, tidak pasti... Sangat disayangkan, tapi u/ pulaunya luarrr biasaaa.. …"
pintu ajaib,2 tahun lalu, 5 bintang ,"Tempat yang masih eksited buat di kunjungi, bener-bener serem kalo naik kapal pas ombaknya gede"
nomu nomu,2 tahun lalu, 5 bintang ,
Bela Agustina,2 tahun lalu, 5 bintang ,
Rizka Aulia,2 tahun lalu, 5 bintang ,"Perjalanan menuju k Gili Iyang harus nyebrang lewat pelabuhan Dungkek, Sumenep sekitar 40 menit. Di pulau ini Penduduknya ramah dan baik2 banget! Nafas di Pulau oksigen ini bener2 enteng!!! U must go there!"
Syarif Alfiansah,2 tahun lalu, 5 bintang ,
FDLN,2 tahun lalu, 5 bintang ,bagus tempatnya
BOURKE Nusantara “De Kasih Sayang” Sugeng Nugroho,2 tahun lalu, 5 bintang ,Khas banget
Nurmalis,2 tahun lalu, 5 bintang ,"kalau ingin tau suasana tahun 70 an, kira kira seperti disinilah, benar2 masih alami"
Atika Anggiasih,2 tahun lalu, 5 bintang ,"Great place to explore the island. Keliling pulau ini cm 10 km, palingan cuma 15 menitan klo naek motor. Cuma emang akses jalannya ga semuanya mukus, ada yg masih bebatuan dan tanah jg. …"
Kiky Noufall,2 tahun lalu, 5 bintang ,
Raka Ardi,2 tahun lalu, 5 bintang ,Gak rugi serius 👌
Jony Ramdan,2 tahun lalu, 5 bintang ,Bagus
Debora winarti,2 tahun lalu, 2 bintang ,blom kesini tp sah kebayang pingin banget ajak keluarga ke sini
Itz.kitsune chan,2 tahun lalu, 5 bintang ,
Sumharry Petronas,2 tahun lalu, 5 bintang ,
Yendi Laksono,2 tahun lalu, 5 bintang ,Cukup memukau tempatnya
Ropik Jaya,2 tahun lalu, 3 bintang ,
Intannurlayli24@gmailcom Intan,2 tahun lalu, 4 bintang ,
Rr Pad Shangkuntala,3 tahun lalu, 5 bintang ,
Siti Munawaroh,3 tahun lalu, 5 bintang ,Semoga tetap terjaga
Ayeik Fernando,3 tahun lalu, 5 bintang ,rugi besar jika kalian tidak mengunjungi pulau indah ini ..
Saifudin Zuhri Zuhri,3 tahun lalu, 4 bintang ,
amir hamzah,3 tahun lalu, 5 bintang ,Bagus
RnT,3 tahun lalu, 4 bintang ,"Pulau dengan kandungan oksigen tertinggi ke 2 di dunia. Banyak spot wisata yang bisa dieksplore, ada Goa Sarepa, Goa Mahakarya, fosil ikan paus, Batu Cangga, Pantai Ropet, dll. Semuanya cantik dan mempesona. Untuk menuju ke sini harus naik …"
Asep Diyan Sopian,3 tahun lalu, 5 bintang ,
zahmawi devi,3 tahun lalu, 1 bintang ,
budi bogor,3 tahun lalu, 5 bintang ,Desa dengan kadar Oksigen terbaik kedua di dunia
agil zain,3 tahun lalu, 5 bintang ,
hasan fatih,3 tahun lalu, 3 bintang ,
Penebus Impian,3 tahun lalu, 5 bintang ,
Novan Aditya Pratama,4 tahun lalu, 5 bintang ,
Amin Farida,4 tahun lalu, 5 bintang ,
hendra 99,4 tahun lalu, 5 bintang ,
Minthi Synyster,4 tahun lalu, 5 bintang ,
fadel abu aufa,4 tahun lalu, 5 bintang ,"(Diterjemahkan oleh Google) Jika Anda ingin pergi dekat pelabuhan terdekat dungkek sumenep, perjalanan laut adalah antara 30 - 45 menit …"
Trias Rini,4 tahun lalu, 5 bintang ,Jempol... Pingin to visit you... 👍💖👍💖👍💖👍
FIRST ONE JERSEY,4 tahun lalu, 5 bintang ,Ada no hp pemandu wisata di sana ?
WAWAN SERBA BAKTI WAWAN SERBA BAKTI,4 tahun lalu, 5 bintang ,Benkel serba bakti segala
8305 Anggi hajat Karisma aulita,4 tahun lalu, 4 bintang ,
Matus HALIMATUS,4 tahun lalu, 1 bintang ,
FSP_SPS_MUNIF PRASOJO (Munif Prasojo Zaini),4 tahun lalu, 5 bintang ,
Alfa Rejo,4 tahun lalu, 1 bintang ,
Asuz Max,4 tahun lalu, 5 bintang ,"(Diterjemahkan oleh Google) O2 pisan terbaik

(Asli)
O2 the best pisan"
Rini Panczyk,4 tahun lalu, 5 bintang ,"Tempatnya bagus ,adà 4 spot wisata yang bisa dikunjungi ."
MS HotsahJr,4 tahun lalu, 5 bintang ,
lailatul magfiroh,4 tahun lalu, 1 bintang ,
Wirian Sudarmono,5 tahun lalu, 5 bintang ,
Musdalifah Misdalifah,5 tahun lalu, 5 bintang ,Peng kesana
deviana via madura,5 tahun lalu, 5 bintang ,
Naufal Tsabitul Azmi,5 tahun lalu, 4 bintang ,"(Diterjemahkan oleh Google) Disarankan untuk Perjalanan Anda

(Asli) …"
Lilik Hardjo,5 tahun lalu, 1 bintang ,
Lyntar Ghendis Larasati,5 tahun lalu, 3 bintang ,
Jobar Jaber,5 tahun lalu, 1 bintang ,
Ahyak Ulumuddin,5 tahun lalu, 5 bintang ,
Ahnawan Emah,5 tahun lalu, 1 bintang ,
Yossie Harnowo,5 tahun lalu, 5 bintang ,"(Diterjemahkan oleh Google) Oksigen terbaik di dunia

(Asli) …"
Mas Nur Erlangga,5 tahun lalu, 3 bintang ,"Pantainya pasir putih dan luas, spotnya bagus untuk foto."
Teo Outbound,5 tahun lalu, 5 bintang ,
wewe winarto,5 tahun lalu, 5 bintang ,Sip kembali muda
didit p,5 tahun lalu, 5 bintang ,
donizetta harley,5 tahun lalu, 5 bintang ,
Rosiana Azmi,5 tahun lalu, 4 bintang ,Unforgettable
Ajem Cukir,5 tahun lalu, 5 bintang ,"(Diterjemahkan oleh Google) Berita

(Asli)
Warbiayasah"
Rudi Alviansa,5 tahun lalu, 1 bintang ,Mantap
