name,rating,review,duration
Nevita Prijono,seminggu lalu, 4 bintang ,"Berangkat dari Pelabuhan Kalianget, Sumenep open trip tarif @75.000 (30/07/2022) dapat fasilitas pinjam google, snorkel,  jaket pelampung, dan foto2 bawah air.
Kamu bisa reservasi perahu lewat …"
GRIYA HANIF,4 minggu lalu, 5 bintang ,"Sebuah perjalanan antara hidup dan mati

Sebaiknya klo berniat untuk berkunjung ke tempat ini berangkat pagi saja biar …"
Ahmad Hawari,sebulan lalu, 5 bintang ,Tempat yg bagus untuk berwisata bersantai
selia sabatini,sebulan lalu, 4 bintang ,"(Diterjemahkan oleh Google) Saya datang saat masih musim hujan, jadi saya tidak bisa melihat karang yang jernih. …"
Teguh Santoso,2 bulan lalu, 4 bintang ,Bagus
Wulan Dari,2 bulan lalu, 5 bintang ,perjalanan yang sangat menyenangkan....
Mochammad Sokhib,2 bulan lalu, 5 bintang ,tempat snorkling
Karina Safitri,2 bulan lalu, 5 bintang ,Sangat seru perjalanannya
Bobot Nasution,3 bulan lalu, 1 bintang ,
Roni Setiawan,3 bulan lalu, 5 bintang ,(Diterjemahkan oleh Google) Pengalaman Pulau Tropis Terbaik dengan anggaran rendah …
Defi purnama Wati,4 bulan lalu, 5 bintang ,"Pantai yang masih bersih, terumbu karangnya yang sangat indah dan tempatnya yg sunyi, sangat cocok untuk para pengunjung wisatawan untuk ber snorkling dan cocok untuk dijadikan tempat camping"
putut agus prasetyo,4 bulan lalu, 5 bintang ,
Citra Amalia,6 bulan lalu, 5 bintang ,
Anisa Zulfa Nurfaizah,6 bulan lalu, 5 bintang ,"Cocok untuk berwisata dengan keluarga, perjalanan juga rada susah karena harus menggunakan kapal, karena tempat ini adalah pulau, jadi memang transportasinya menggunakan kapal sekitar 2-3 jam-an.., tapi sampai sana tidak mengecewakan, …"
Khoyum Khoyum,6 bulan lalu, 5 bintang ,Oksigen terbaik didunia
Wardahun Nafisah,6 bulan lalu, 5 bintang ,
Lushi San,6 bulan lalu, 5 bintang ,Bikin nagih.. masih pengen balik sini lagi
Ferry Noer Zahrie,7 bulan lalu, 5 bintang ,
satrio suryo prayogo,9 bulan lalu, 5 bintang ,Masih asri dan nyaman. Para wisatawan wajib menjaga kebersihan dan kelestarian terumbu karang di sini
Heru Zarkasyi,9 bulan lalu, 5 bintang ,Seru
Bella Belle,11 bulan lalu, 5 bintang ,"Baguss banget pulau nya, masih asri, penduduk masih sedikit, snorkeling disini bagus. Cuma agak khawatir pas nyebrang di saat hujan"
Andini Agustin,11 bulan lalu, 5 bintang ,
Khairul Anam,setahun lalu, 5 bintang ,Sangat menyenangkan
Rizky J. Putri,setahun lalu, 5 bintang ,"Bagus banget sih serius. Itu laut bisa glow up kaya gitu pake skincare naon siah urang teh nyaho tapi na serius bagus banget ga boong bang. Cuma siap siap pake sunblock double ye, even ga gosong gosong amat tapi ya lumayan panasnya. Tapi …"
bayuu_ nugrohoo,setahun lalu, 5 bintang ,Tempatnya bagus dan bersih
Hidayat Hadi,setahun lalu, 5 bintang ,"Setelah 5 tahun kembali lagi kesini..  Banyak berubah, lebih teratur lebih INDAAAAHH pastinya lebih lebih lah..  Spot snorkeling nya juga udah best!!  Sunset dan sunrise disini tidak pernah mengecewakan..  Terimakasih TEAM WANDERER dan …"
Beni Sumantri,setahun lalu, 5 bintang ,katanya tretan muslim disini bagus
luxman engking,setahun lalu, 5 bintang ,Raja ampatnya jawa timur.....
Dwi Putra,setahun lalu, 5 bintang ,"(Diterjemahkan oleh Google) Butuh satu malam berkemah di sini. Pengalaman yang tak bisa dilupakan. Di pagi hari, Anda akan melihat air surut dan Anda bisa berjalan di atasnya. Mohon berhati-hati untuk tidak menginjak biota laut termasuk …"
tarie koe,setahun lalu, 5 bintang ,
