name,rating,review,duration
Sadar Logika,sebulan lalu, 1 bintang ,
edi virgoun,sebulan lalu, 5 bintang ,
Ferry Ferrari,sebulan lalu, 5 bintang ,
Kitrul Wais,2 bulan lalu, 1 bintang ,
yuli syantik,2 bulan lalu, 5 bintang ,
Lukman fnr,2 bulan lalu, 5 bintang ,👍🏻
Ajaib123 Games,3 bulan lalu, 5 bintang ,
Abd Rahman,3 bulan lalu, 5 bintang ,
Zent Fighter,4 bulan lalu, 4 bintang ,Lumayan lah...
Koko Traveler sejati,4 bulan lalu, 5 bintang ,Bagus
Lea Lestari,4 bulan lalu, 5 bintang ,Terbaik
HD_Wijaya Official,6 bulan lalu, 3 bintang ,Oke lah
syaiful Bahri ahmad,6 bulan lalu, 3 bintang ,
MY VLOG 89,6 bulan lalu, 3 bintang ,
Arief Alvianto,6 bulan lalu, 4 bintang ,"Tempat Makan dan Ngopi dipinggir Pantai, View dan Tempat Bagus."
Saiful Bahri01,7 bulan lalu, 4 bintang ,Antar jemput
Haris hariyanto,7 bulan lalu, 5 bintang ,
David Wahyuono,7 bulan lalu, 3 bintang ,Pemandangannya bagus
Mawaddah Madha_Adha,7 bulan lalu, 5 bintang ,Tempat Oke... Cukup menyenangkan bagi keluarga... Hnya saja menu makanan kurang lengkap dan harga minuman lumayan terjangkau.
Arman Endika Putra,7 bulan lalu, 5 bintang ,
Kopi Weleng,7 bulan lalu, 5 bintang ,
TV BUNGKALATAN,7 bulan lalu, 2 bintang ,Kurang bersih
Herman maman,7 bulan lalu, 5 bintang ,
Buharianto,7 bulan lalu, 2 bintang ,Banyak tikusnya
Nuri Zahro,7 bulan lalu, 5 bintang ,Tempatnya bagus.
Wachid Rahman,7 bulan lalu, 5 bintang ,mantap
Maulida Mirsa,7 bulan lalu, 5 bintang ,Tempat yang adem buat singgah istirahat saat perjalanan dari/ke madura sambil minum dan nyemil. Ada spot fotonya juga. Pas banget di pinggir pantai bs denger suara ombak
Ahmad Solihul Hadi,8 bulan lalu, 4 bintang ,Mantapppppp
achon gaming,8 bulan lalu, 5 bintang ,
Bang Ibe,8 bulan lalu, 4 bintang ,Cocok buat santai brsama keluarga
Fakhra Falisha,8 bulan lalu, 5 bintang ,view dikapal jodol sangatt bagus.. semua makanan juga enak serta semua harga tidak menguras kantong.  tempatnya sangat instagramable.  recomended
Lisa Normalasari,9 bulan lalu, 4 bintang ,Untuk spot foto memang cocok
Mas Beth,9 bulan lalu, 4 bintang ,
Hoy Bhawell,9 bulan lalu, 4 bintang ,
NENG dan AA CHANNEL,9 bulan lalu, 5 bintang ,"View nya ok, makanannya biasa sebagaimana mestinya. Minumannya kemanisan banget 😁😁😁.  Kalo dtg 2x ketempat ini nggak dulu ya. Itu kenapa ada hiasan buat selfie tulisannya ""suamiku direbut pelakor"" siapa yg mau foto bavkgroundnya tulisan itu🤣🤣"
Moenawar Cholil,10 bulan lalu, 4 bintang ,Sip
rudyfajar fajar,10 bulan lalu, 1 bintang ,
abdus samad,10 bulan lalu, 5 bintang ,Sunset ajib
Aniz Thulend'z,10 bulan lalu, 5 bintang ,
SINTEK SAJAIL (KANG MAS ABANG),11 bulan lalu, 3 bintang ,
Huntuy Santa,11 bulan lalu, 5 bintang ,
nurul Aditya,11 bulan lalu, 5 bintang ,Membatu yg membutuhkan
Ria Aprilianti,11 bulan lalu, 5 bintang ,Bagus dan indah
SEROX MDR,11 bulan lalu, 3 bintang ,Area parkir kurang pas. Dan panas... kurang tempat rindang
Khoiruel Azhar,setahun lalu, 5 bintang ,Baguss
Khoirul Anam,setahun lalu, 3 bintang ,
Safely Mdr,setahun lalu, 3 bintang ,"Menu makannya makin dikit, cuma ada ayam geprek, kentang, sosis, pisang keju"
Khairul Rahman,setahun lalu, 5 bintang ,Bekerja keras karna bukan penikmat harta orang tua
Panglima Jaya Mahe,setahun lalu, 5 bintang ,
Desi Amallia,setahun lalu, 4 bintang ,"Tempat yang lumayan untuk di kunjungi, hanya saja menu kurang memuaskan"
JarwO,setahun lalu, 4 bintang ,🙏🙏🙏
