name,rating,review,duration
Eko Slamet,seminggu lalu, 5 bintang ,
Sule Ahmad,sebulan lalu, 5 bintang ,Beberapa makam wali allah dan warisan budaya
Umar Zamzam,sebulan lalu, 5 bintang ,Alangkah baiknya jika berziarah ke madura mampir ke sini
Mas Mus,sebulan lalu, 5 bintang ,"makam asta tinggi sumenep sekarang telah menjadi salah satu destinasi wisata religi di pulau madura. dari informasi yang saya dapatkan, area pemakaman ini telah ada sejak awal abad ke 17, dan yang dimakamkan disini adalah para raja sumenep …"
dwi hariri,2 bulan lalu, 5 bintang ,"Alhamdulillah bisa berkunjung kesini,juru kunci makam juga ramah ramah"
muhammad ali murtadlo,2 bulan lalu, 5 bintang ,
Wahid Rahmatullah,2 bulan lalu, 5 bintang ,Makam leluhur
Multidaya Channel,3 bulan lalu, 5 bintang ,Luar Biasa Peninggalan Leluhur Kita
yafet tuejeh,3 bulan lalu, 5 bintang ,
aryo bayat,4 bulan lalu, 5 bintang ,"(Diterjemahkan oleh Google) Sowah lebih unggul

(Asli)
Sowah luluhur"
Agus Indriawan,5 bulan lalu, 5 bintang ,
Yurika Thara Afanin,5 bulan lalu, 5 bintang ,Smuaga bisa siaroh lagi
Yunus Saja,5 bulan lalu, 5 bintang ,Alhamdulillah bisa nyampek untuk siaroh
nurul hudah,5 bulan lalu, 5 bintang ,
Deddy Purwanto,5 bulan lalu, 5 bintang ,"(Diterjemahkan oleh Google) Makam raja - raja tidur

(Asli) …"
Miftahul Janna,5 bulan lalu, 5 bintang ,Alhamdulillah
Lutfi EstilLo,5 bulan lalu, 5 bintang ,Dsini adalah tempat makam para Keraton/Raja Sumenep Dan juga para keturunan nya .. …
Alfan Barox,5 bulan lalu, 5 bintang ,Bagus
Awan Pristanto,5 bulan lalu, 4 bintang ,Wisata religi
Wa Wan,6 bulan lalu, 5 bintang ,Religi
winda Hasanah,6 bulan lalu, 1 bintang ,
Ossy Aida F,7 bulan lalu, 4 bintang ,
Mohammad Syamsudin Brew_Ok,7 bulan lalu, 5 bintang ,"7 kawasan Asta Tinggi

1. Kawasan Asta Induk, terdiri dari: …"
Fadilatur Rahmaniyah,7 bulan lalu, 5 bintang ,"(Diterjemahkan oleh Google) Makam raja dan keluarga keraton sumenep

(Asli) …"
Nur Ahmad Hosaini,8 bulan lalu, 5 bintang ,Keren
Lionelsi Kudo,8 bulan lalu, 3 bintang ,"(Diterjemahkan oleh Google) Itu dia. Jangan berharap banyak

(Asli) …"
Nanang Irawan,8 bulan lalu, 4 bintang ,"Wisata religi,tempat bersih ,nyaman"
mulyono kertas,8 bulan lalu, 5 bintang ,
Riza Fauzi Channel,10 bulan lalu, 5 bintang ,"Yang suka ziarah
Wajib kesini...
Salah satu destinasi wisata religi yang wajib dikunjungi waktu ke sumenep"
Erfan Backpakers (Jiezunk),11 bulan lalu, 5 bintang ,Kerren banget
