name,rating,review,duration
Axel Bangkalan,5 jam lalu, 5 bintang ,"Drn. Axelbangkalan. Bangkalan
Righ.
Axelbangkalan👍. ' …"
Mass Maiel,18 jam lalu, 5 bintang ,
Ali imron,21 jam lalu, 4 bintang ,Tempat yg luas
ifafu rohmah,2 hari lalu, 5 bintang ,
Jaysen Millen,2 hari lalu, 5 bintang ,Masjid yg indah
Maulidin Iqbal Firmansyah,4 hari lalu, 5 bintang ,"Masjid kuno ikon kota bangkalan, konon ada salah satu tiang kayu Jati yg disambung menggunakan sorban. Tp selain itu masjid ini benar2 mengikuti tataruang pola era walisongo. Dimana kanan kiri ada kolam air. Berhadapan dengan alun2 dan …"
Dikron Primadani,5 hari lalu, 5 bintang ,
Dina Aeinia,seminggu lalu, 5 bintang ,
Syafi'i Ns,seminggu lalu, 5 bintang ,Nyaman untuk beribadah
Idrus Syamsi,seminggu lalu, 5 bintang ,Mantap bisa tambahkan wawasan
Nuvis Melodiana,seminggu lalu, 5 bintang ,
E Galih Raka P,seminggu lalu, 5 bintang ,Masjid Agung Bangkalan
Ahmed Alnossari,seminggu lalu, 5 bintang ,"(Diterjemahkan oleh Google) Bagus

(Asli)
Nice"
Nabhan AF,seminggu lalu, 5 bintang ,Best mosque in bangkalan/madura
Athoillah 09,seminggu lalu, 5 bintang ,
Paimin Suwit,seminggu lalu, 5 bintang ,Foto masjid agung bangkalan|dari Utama Gallery
Wiwiet Artie,2 minggu lalu, 5 bintang ,
Deny Muhammad P,2 minggu lalu, 5 bintang ,"Adem, besar, nyaman"
Dwi Tjahjo,2 minggu lalu, 5 bintang ,"Masjid yang luar biasa, peninggalan Kiyai Saikonakolil  ....  Air yg dipakai wudlu dingin, suasana dalam masjid sejuk, walau dialtar masjid Panas luar biasa"
Ina Muthmainnah,2 minggu lalu, 5 bintang ,Bersih.
Fery Andi,2 minggu lalu, 5 bintang ,Nyaman untuk beribadah
Khoiron Baim,2 minggu lalu, 5 bintang ,
Yulina Devvie Sari,3 minggu lalu, 5 bintang ,Masjid nya bersih
Sabil ulum al-Fiansyah,3 minggu lalu, 5 bintang ,
Insanul Haq,3 minggu lalu, 5 bintang ,"Masjid nya bagus, sejuk dan sahdu, menambah kekhusukan saat melaksanakan sholat. Tapi ada pengalaman tidak enak saat berkunjung ke sana. Sandal saya hilang....saya yg dari Surabaya jauh2 ingin tahu suasana masjid ini jadi ada perasaan …"
Iwan Arief Yudhianto,4 minggu lalu, 5 bintang ,
Muhammad Aladin,4 minggu lalu, 5 bintang ,"bagus,besar, toilet dan tempat wudhu terpisah dan bersih..."
Ipoeles CavaLera,4 minggu lalu, 5 bintang ,Masjid Terbesar di Daerah Bangkalan
Trio Deswa,sebulan lalu, 4 bintang ,
Anny Veradiani,sebulan lalu, 5 bintang ,
Arief Oblah,sebulan lalu, 5 bintang ,
