name,rating,review,duration
Niko aja,4 hari lalu, 5 bintang ,"Adem, sholat sik"
didik poole,2 minggu lalu, 5 bintang ,Pengeras suaranya kurang jelas
Zacky Rizand,3 minggu lalu, 5 bintang ,Rapi dan bersih
Ombyokan Alas Channel,4 minggu lalu, 5 bintang ,"Masjid agung Asy Syuhada berlokasi di alun - alum Pamekasan. Dengan struktur bangunan yang estetik memberikan kesan yang indah, serta warna kubah bagian dalam yang mempunyai kombinasi warna hijau yang dapat memberikan kesan Adem meskipun di luar cuacanya panas."
Moh Syamsul Arifin,4 minggu lalu, 5 bintang ,"Masjid agung Pamekasan, tang ada di alun alun Pamekasan"
Kutri e,sebulan lalu, 5 bintang ,"Bagus masjidnya, bersih dan nyaman."
tubagus berlianto,sebulan lalu, 5 bintang ,"Adem di udara adem di hati, subhanallah"
Muhammad Habibullah,2 bulan lalu, 5 bintang ,
Iwan Arief,2 bulan lalu, 5 bintang ,
Iwan Arief Yudhianto,2 bulan lalu, 5 bintang ,
Syamsuddin Tulen,2 bulan lalu, 5 bintang ,Tempatx bersih
M Raffi Yatul Rizky,2 bulan lalu, 1 bintang ,Banyak malingnya
Dody Ibrahim Akbar,3 bulan lalu, 5 bintang ,Alhamdulillah jamaahnya banyak
NURUL LAILI OCTAVIA,3 bulan lalu, 5 bintang ,
Edi Fahrudin,3 bulan lalu, 5 bintang ,Masjid agung di alun-alun Pamekasan.
prabandari wadjdi,3 bulan lalu, 4 bintang ,Setelah berhari-hari di Kab. Sumenep... akhirnya menuju Kah. Pamekasan... dan nanti lanjut Surabaya dan Jakarta.... …
Puncak Darul Islam,3 bulan lalu, 5 bintang ,Selalu dihati
El_Roum Annuroniyyah,3 bulan lalu, 5 bintang ,"Masjidnya sangat luas dan nyaman. Corak masjidnya juga sangat unik. Ada kamar mandi. Dan parkiran yang cukup luas. Jika berkunjung ke arek lancor, maka sholatnya bisa disini. Selain untuk sholat, masjid ini kerap dijadikan tempat istirahat."
syafaat Rasulullah,4 bulan lalu, 5 bintang ,
HERAWAN OETOMO,4 bulan lalu, 4 bintang ,👍👍👍👍
gagat pamungkas,4 bulan lalu, 5 bintang ,"Masjid yang besar yang berada di pusat kota Pamekasan, lahan parkir yang luas, letak strategis, dan fasilitas umum lainnya sangat memadai.
Tempat wudhu yang banyak, kamar mandi yang bersih. Pengurus masjidnya juga ramah."
achmad baihaki al amien,4 bulan lalu, 5 bintang ,"Sejak lahir sampai sekarang belum pernah sholat di masjid ini, tapi sering dilewati."
MIE RSIA Kendangsari Surabaya,4 bulan lalu, 5 bintang ,Nyaman
Inayatul Maghfirah Agustania (Gadiez Leo),5 bulan lalu, 5 bintang ,Bersih masjidnya. Nyaman banget istirahat disana. Pamekasan mempunyai masjid agung yang benar-benar nyaman sebagai tempat beribadah dan juga sekedar melepas penat..
Aji Dharma,6 bulan lalu, 4 bintang ,
Thoriq Channel,6 bulan lalu, 5 bintang ,Tempatnya nyaman dan sejuk
Adinda nurkamariyah laili,6 bulan lalu, 5 bintang ,"Nyaman, bersih, luas"
Alfin Dores,6 bulan lalu, 5 bintang ,
Sultonil Adim,6 bulan lalu, 5 bintang ,
Q. Nuril Q.,6 bulan lalu, 4 bintang ,Masjid yang dilengkapi ruangan/aula untuk acara pernikahan. Tempat parkir mobil kurang luas krn di sepanjang jalan raya sekitar masjid.
Heffrizza Ahmad,6 bulan lalu, 5 bintang ,"Masjid adem, bersih"
El Maulidy El Madury,6 bulan lalu, 5 bintang ,Masjid Central Kota Makkah San Madura
DLWI CREATOR,7 bulan lalu, 5 bintang ,Semoga selalu banyak jamaahnya
Mahrus Buhari,7 bulan lalu, 4 bintang ,Masjid yang megah terletak di pusat kota
Dian Oktaviana,8 bulan lalu, 4 bintang ,
Raihaan Akbar,8 bulan lalu, 5 bintang ,
