name,rating,review,duration
Yuniarosa Fitandari,6 hari lalu, 5 bintang ,Ngadem sambil lihat laut
Abdul Halim,seminggu lalu, 4 bintang ,Mengenang bangunan sejarah
Anton Harmoko,seminggu lalu, 3 bintang ,
Muh Ridwanul Aziz,seminggu lalu, 3 bintang ,
doni ismanto,3 minggu lalu, 5 bintang ,
Nur Zekiyah (Zakia genQ),3 minggu lalu, 4 bintang ,Bagus banger view nya
Sanina Sani,4 minggu lalu, 4 bintang ,
Alfian Ari Putra,sebulan lalu, 4 bintang ,
Fitri Sasmita,sebulan lalu, 5 bintang ,"Waahh..ini sih bs jd tmp wisata ya, klo jalanan menuju kesananya diperbaiki. Lahan blkgnya jg ada tanah luas, mungkin bs diperbagus jd taman atau apapun..💕"
Ahmad Zaini,sebulan lalu, 4 bintang ,"Sbnernya klw akses jalan cukup bagus, tidak terlalu lama nyampe sana dari makam syaikhona Holil. Tempatnya ada di dalam seperti benteng gitu. Pas di sana tdk ada orang. Mungkin ada perbaikan dan sudah Maghrib. Pemandangan jalan sebelum lokasi bagus banget. Mungkin bisa berangkat sebelum ashar biar dapat view bagus"
Firdaus Arvidian Purnomo,sebulan lalu, 4 bintang ,"Menara suar peninggalan Belanda yang masih berfungsi hingga sekarang, utk wisatawan sudah tidak dapat masuk ke mercusuar sejak 2013 lalu. Jadi hanya bisa berfoto atau sekedar ngopi di warung depan pintu masuk"
Yoga Adi,sebulan lalu, 4 bintang ,
Rindu Sundari,sebulan lalu, 5 bintang ,"Mercusuar peninggalan Belanda ini sekarang milik Dishub, namun dijaga oleh TNI.

Menurut ibu penjual minuman di depan mercusuar ini, dulu wisatawan diperbolehkan …"
Anoeng “noeng” suroboyo,sebulan lalu, 5 bintang ,Referensi navigasi untuk kapal yang masuk dan keluar APBS
Katarina Karunia Nindy Julianto,sebulan lalu, 5 bintang ,
Alfin,sebulan lalu, 5 bintang ,"Suasana nya sangat adem, cocok buat healing"
Hadi Dwiyono,sebulan lalu, 4 bintang ,
krisna Dimulyo,2 bulan lalu, 5 bintang ,"(Diterjemahkan oleh Google) adem

(Asli)
Adem"
Restu Ardiansah Pramudya,2 bulan lalu, 5 bintang ,
Cong Mufid,2 bulan lalu, 5 bintang ,"Tdk bisa naik, sayang sekali datang jauh2."
rissa azzalea anas,2 bulan lalu, 5 bintang ,
obit nubi,2 bulan lalu, 5 bintang ,
Annisa Parasayu,2 bulan lalu, 5 bintang ,Sudah ga bisa naek ke mercusuar lagi...hnya bsa foto dr luar cuma bsa keliling masuk sekitar mercusuar...bsa mnikmati kopi krupuk rujak yg jual depan mercusuar skliling ada tambak dn ktmu laut.. …
19-099 Alvi Maulana,2 bulan lalu, 4 bintang ,
Handi Heraldo,2 bulan lalu, 5 bintang ,
Frea Renata,2 bulan lalu, 2 bintang ,
Herlambang A,2 bulan lalu, 5 bintang ,"Bangunan Bagus dan Keren banget, banyak nilai Seni,"
pati hits,2 bulan lalu, 5 bintang ,
mohamad hanafi,2 bulan lalu, 3 bintang ,
Frostbite _17,2 bulan lalu, 5 bintang ,
Rachmad catur Setiyawan,2 bulan lalu, 5 bintang ,Bisa bersantai untuk keluarga sambil makan pecel... Jika diperbaharui fasilitas mungkin bisa lebih menjanjikan sebagai obyek wisata
BLΔCK β0X,2 bulan lalu, 5 bintang ,
Chusnul Hadi,2 bulan lalu, 5 bintang ,
Iwan Fah,2 bulan lalu, 4 bintang ,
Iwan Parathon,2 bulan lalu, 4 bintang ,
Elly Rohana,2 bulan lalu, 3 bintang ,
Imron Rosyadi (DIDIT),2 bulan lalu, 5 bintang ,"Untuk tempat tetap bagus lah meskipun wisatawan tidak bisa naik ke atas mercusuar, pemandangan di sekitar mercusuar juga bagus untuk dijadikan spot foto, tergantung bagaimana kita mengambil moment yang bagus. …"
Budhi Priasmoro,3 bulan lalu, 3 bintang ,
Slamet Hariono,3 bulan lalu, 3 bintang ,
TOHA TOHA,3 bulan lalu, 5 bintang ,Refreshing k mercusuar sambilangan bamgkalan
Yamazaki “Yamazaki” Chibi,3 bulan lalu, 5 bintang ,Bagus tapi sayang gak bisa masuk di tutup utk umum
Novianto Setiawan,3 bulan lalu, 5 bintang ,Knapa kok sekarang gak bisa sampai atas. Gak bisa lihat laut.  Kehalang mangrup
budiono official,3 bulan lalu, 5 bintang ,
Kiena Dhuhuriyah,3 bulan lalu, 5 bintang ,
Ajaib123 Games,3 bulan lalu, 5 bintang ,
salamet ready,3 bulan lalu, 5 bintang ,
Kamila Khoirunisa,3 bulan lalu, 5 bintang ,
Zudi Hariyanto,3 bulan lalu, 5 bintang ,
Eddy Moeljono,4 bulan lalu, 5 bintang ,
Nikmal Wakil,4 bulan lalu, 5 bintang ,
Rizki al khair,4 bulan lalu, 5 bintang ,
HIDAYAT RENTAL 124,4 bulan lalu, 5 bintang ,
Tarmuji Tarmuji,4 bulan lalu, 3 bintang ,Bangunan bersejarah .dan masih terawat dengan baik.jalan masuk ke daerah banyak yang rusak .toilet tidak ada
Arief Prasetyawan,4 bulan lalu, 5 bintang ,"(Diterjemahkan oleh Google) Mercu suar. Ya, begitu saja.
Tidak bisa naik …"
Tonie Mitrak,4 bulan lalu, 5 bintang ,
GLT Vlog_#Sby1,4 bulan lalu, 5 bintang ,
Yudi Suprianto,4 bulan lalu, 5 bintang ,
Arif Wiryawan,4 bulan lalu, 5 bintang ,
anita nursantiasih,4 bulan lalu, 4 bintang ,Dulu boleh naik sampe atas di mercusuar
Zumar Awwabul,5 bulan lalu, 5 bintang ,Bagus viewnya
Heru,5 bulan lalu, 5 bintang ,Bersih terawat tempatnya. Waktu kesana saya tidak masuk ke lokasi karna mungkin masih pagi sekali tutup. Saya hanya ambil gambar pakai drone saja.
Siska Yonin fitralana,5 bulan lalu, 5 bintang ,
Sanga Sanga Sablon,5 bulan lalu, 5 bintang ,"(Diterjemahkan oleh Google) Tumut ngaso

(Asli)
Tumut ngaos"
Sutris Wardoyo,5 bulan lalu, 5 bintang ,Main aja ke sini untuk wisata sejarah
Jannatul Firdausiyah,5 bulan lalu, 5 bintang ,Suasananya asri dan bagian luar masih terawat
ihsan haqq,5 bulan lalu, 5 bintang ,
