name,rating,review,duration
ifa zheeda,1 hari lalu, 5 bintang ,
HAN N,1 hari lalu, 4 bintang ,
Francisko deny,1 hari lalu, 4 bintang ,
Pipit Front,6 hari lalu, 5 bintang ,
Andi Romi Firdaus,6 hari lalu, 5 bintang ,
Solihin Nasrudin,seminggu lalu, 4 bintang ,Pemandu yang familier
Riyzhal Maulana Fajrien (Gonk666),seminggu lalu, 4 bintang ,
Gusti Adhitya,seminggu lalu, 5 bintang ,
Moch Saleh Widyatmoko,seminggu lalu, 5 bintang ,
Weka Nonika,seminggu lalu, 5 bintang ,
Undira Zhiny,2 minggu lalu, 5 bintang ,
Fikri Zainurrahman,2 minggu lalu, 5 bintang ,"Salahsatu peninggalan sejarah yang ada di Sumenep, didalamnya ada berbagai macam benda peninggalan raja-raja sumenep"
HLY FKRYH,2 minggu lalu, 4 bintang ,Mungkin pelayanan nya peelu di tingjatkan lagi
Akmal Nu_G,2 minggu lalu, 5 bintang ,
Mohammad Rasid,3 minggu lalu, 2 bintang ,
Yusuf SyfeL4,3 minggu lalu, 5 bintang ,Sangat megah & bersejarah... Tetap terjaga di lestarikan sampai saat ini
Ahmed Fadhlan,3 minggu lalu, 5 bintang ,
Sendal06,3 minggu lalu, 4 bintang ,
devina ryanti,3 minggu lalu, 5 bintang ,Bagus banget sayangnya toilet kurang di perhatikan
Arif Kara,3 minggu lalu, 5 bintang ,
Rifky Yudha Mahendra,3 minggu lalu, 5 bintang ,"Dengan harga yg terjangkau, kita mendapat pengetahuan yg luar biasa terkait peninggalan  keraton Sumenep dari jaman dulu"
Yoepy Priyono,3 minggu lalu, 4 bintang ,Parkiran luas dan tempat kuliner juga ada
Nur Rosyid Mubtada'i,4 minggu lalu, 5 bintang ,
Juhari Har,sebulan lalu, 5 bintang ,Sangat menyenangkan dan bisa mengetahui terkait sejarah pada waktu kerajaan di sumenep Mantap
sufyanussauri baik sekali,sebulan lalu, 5 bintang ,
IPUNK èstoh,sebulan lalu, 4 bintang ,
Agus Winarto,sebulan lalu, 5 bintang ,Mantap
Moch Saleh Widyatmoko,sebulan lalu, 5 bintang ,
Fitriyah Suwantoro,sebulan lalu, 5 bintang ,
Anna Zeva,sebulan lalu, 5 bintang ,Tempatnya bagus. Petugasnya ramah dan baik
Lely Kartika Sari,sebulan lalu, 5 bintang ,Tempat keraton bersejarah yg msh ada d daerah sumenep madura....bagus bs menambah ilmu pengetahuan
Veramita Dwi,sebulan lalu, 5 bintang ,"(Diterjemahkan oleh Google) tempat bersejarah

(Asli)
historical place"
novrizal aldi,sebulan lalu, 5 bintang ,
Muel Yadi,sebulan lalu, 5 bintang ,
AS MUKHLIS,sebulan lalu, 4 bintang ,Siip
Atarriski Riski,sebulan lalu, 5 bintang ,
Imam Fathoni,sebulan lalu, 5 bintang ,
TheVentMan,sebulan lalu, 4 bintang ,
