name,rating,review,duration
Fahat Ariansah,2 bulan lalu, 5 bintang ,
Ajaib123 Games,3 bulan lalu, 5 bintang ,
Zairi Sebastian,4 bulan lalu, 3 bintang ,
Sur Yadi,6 bulan lalu, 4 bintang ,Bgs dan memuaskan
Mulyadi Putra,10 bulan lalu, 5 bintang ,Draiver muda
punyabang 23,11 bulan lalu, 5 bintang ,
Ibah Ajach,setahun lalu, 4 bintang ,
Yunik Khaerunnisak,setahun lalu, 4 bintang ,nice view
Ach Rodianto,setahun lalu, 5 bintang ,
adrian ksp,setahun lalu, 5 bintang ,Tempatnya indah
Sufyan Yan,setahun lalu, 5 bintang ,
Ali Hannah,setahun lalu, 3 bintang ,
bocil ff,setahun lalu, 5 bintang ,Pelabuhan yang bagus
Mila Toger,setahun lalu, 5 bintang ,
DESI NATALIA (Dessy),setahun lalu, 5 bintang ,Pantai yg sangat exotic nuansa yg alami dgn nelayan tradisional pemandangan laut yg semilir sejuk asri adem indah
Carlos Vella,setahun lalu, 5 bintang ,Ntap
Rohli Pasean,setahun lalu, 4 bintang ,"(Diterjemahkan oleh Google) Solo

(Asli)
Solon"
walidir rahman,setahun lalu, 5 bintang ,
fariz iqbal,setahun lalu, 4 bintang ,
Hendi Riadi,2 tahun lalu, 5 bintang ,Karna Indah
Iffah Asith,2 tahun lalu, 3 bintang ,Lewat saja
habibul ghefiqi,2 tahun lalu, 4 bintang ,
Badri May,2 tahun lalu, 3 bintang ,Panas
Andre Asoka,2 tahun lalu, 2 bintang ,
surya tekniksipil,2 tahun lalu, 5 bintang ,
Agoessayank salim,2 tahun lalu, 4 bintang ,
Ajie Prasetyo,2 tahun lalu, 1 bintang ,
Muhammad Mujtahid,2 tahun lalu, 1 bintang ,
Aris Danue Supriyadhi,2 tahun lalu, 3 bintang ,Lumayan bagus untuk panorama sunrise
ageng suryoyudho,2 tahun lalu, 5 bintang ,
home . id,2 tahun lalu, 5 bintang ,Indah pantainya
arok umaro,2 tahun lalu, 4 bintang ,Recomedasi destinasi wisata keluarga
Fajar Adi Sofian,2 tahun lalu, 5 bintang ,
FIRMAN BAGAS PRAKOSO,2 tahun lalu, 5 bintang ,Bagus sekarang sudah di bangun balai kecil untuk menikmati pemandangan laut
M Ali Wahyudi,2 tahun lalu, 5 bintang ,
dian carolina,2 tahun lalu, 4 bintang ,
Yosafat Nova Kurniawan,2 tahun lalu, 5 bintang ,"(Diterjemahkan oleh Google) baik

(Asli)
okeee"
Kanaya Malika,2 tahun lalu, 5 bintang ,Senang sekali
HAFIDZ GB,2 tahun lalu, 5 bintang ,Sangat bagus tempat ini
Miftahor Rahman,2 tahun lalu, 5 bintang ,
BANG RACHMAN FISHING,2 tahun lalu, 4 bintang ,Bagus
Adiriyanto official,2 tahun lalu, 5 bintang ,Mantappp
M Abbas Ali,2 tahun lalu, 3 bintang ,
Iroes Anindya Channel,2 tahun lalu, 5 bintang ,Lebur keyah
Qoqo mahveen,2 tahun lalu, 4 bintang ,Banyak tempat wisata alam disini
Ipul Almansur,2 tahun lalu, 2 bintang ,
Peggek Madura,2 tahun lalu, 5 bintang ,"(Diterjemahkan oleh Google) Oke

(Asli)
Ok"
Yaher Channel,2 tahun lalu, 5 bintang ,indah
imam hadiki,2 tahun lalu, 4 bintang ,
ZAIN GIGI Veneer,2 tahun lalu, 5 bintang ,
maulidatul kamilah,2 tahun lalu, 5 bintang ,Pemandangannya sangat bagus apalagi pas sunset atau sunrice
nq frds,2 tahun lalu, 5 bintang ,
Cap Pelloh,2 tahun lalu, 3 bintang ,
arga laros,2 tahun lalu, 3 bintang ,
3M,2 tahun lalu, 4 bintang ,
saiful said,2 tahun lalu, 4 bintang ,"Batu kerbuy adalah dermaga yg belum ber oprasi....
Yg mau mancing silahkan datang"
Sylma Pricilia,2 tahun lalu, 3 bintang ,
Achick Luxio,2 tahun lalu, 5 bintang ,
taufiqur rahman,2 tahun lalu, 5 bintang ,SMG smkin sukses
Capunx Buhanteng,2 tahun lalu, 5 bintang ,
Nahrulla Arul,2 tahun lalu, 4 bintang ,Sip
DUTA OFFICIAL (Duta official),2 tahun lalu, 5 bintang ,Bagus
indah maghfiroh,2 tahun lalu, 4 bintang ,
Nimnimal 27,2 tahun lalu, 5 bintang ,
Sukriyanto,3 tahun lalu, 4 bintang ,
Omponk Lyno,3 tahun lalu, 4 bintang ,
Gofan Waru,3 tahun lalu, 3 bintang ,Bagus
Saheri 14,3 tahun lalu, 5 bintang ,
Faisol Alfarizi,3 tahun lalu, 5 bintang ,
Achmad Beni,3 tahun lalu, 5 bintang ,Baik dan bagus sekali
Sulaiman Alzain,3 tahun lalu, 5 bintang ,bagus
Andy Frenky,3 tahun lalu, 4 bintang ,
Alzyo Putra,3 tahun lalu, 4 bintang ,
Bg Ion,3 tahun lalu, 5 bintang ,
hery sucipto,3 tahun lalu, 5 bintang ,Pesisir Utara pulau Madura yg penuh dgn pasir putihnya hingga k wisata Slopeng dn pantai Lombang
Karimah Sundirah,3 tahun lalu, 5 bintang ,Indah
rayhan cakep,3 tahun lalu, 3 bintang ,Lumayan buat mancing..
Masudi Bayz,3 tahun lalu, 5 bintang ,
Khoirin Nufus,3 tahun lalu, 5 bintang ,Sejuk dengan adanya angin pantai
gigi koe,3 tahun lalu, 5 bintang ,
Firman Wahyudi,3 tahun lalu, 5 bintang ,
Rasidi Rasidi,3 tahun lalu, 5 bintang ,
Ilul Cetiawank,3 tahun lalu, 5 bintang ,Indah
Dedy Syaraf,3 tahun lalu, 5 bintang ,
Affandi Briliant,3 tahun lalu, 5 bintang ,
Ifan Fatlur rahman,3 tahun lalu, 1 bintang ,
Eko Yuni Prastyawan,3 tahun lalu, 5 bintang ,Tempat yg cocok untuk sekedar refreshing serta menghilangkan rasa penat setelah seharian bekerja ato rutinitas.
putri duwi yanti putri,3 tahun lalu, 5 bintang ,
Hasyem As'Ary,3 tahun lalu, 5 bintang ,
yudi faqot,3 tahun lalu, 4 bintang ,
Siska wahyudi95,3 tahun lalu, 2 bintang ,
ASB SALON CNL,3 tahun lalu, 4 bintang ,
Hyper Sony,3 tahun lalu, 3 bintang ,blom ada tempat untuk bersantai
qimora azkha,3 tahun lalu, 5 bintang ,
Ahmad Riangga,3 tahun lalu, 5 bintang ,Berkarang
Moh. Nafis Husen Romadani,3 tahun lalu, 5 bintang ,
Rafiee Luddin,3 tahun lalu, 5 bintang ,"(Diterjemahkan oleh Google) Tempat yang bagus

(Asli)
Good place"
Achmad Kusairi,3 tahun lalu, 1 bintang ,Gak begitu menarik
Herry Effendy,3 tahun lalu, 3 bintang ,"(Diterjemahkan oleh Google) Pertama-tama, gratis. Anda tidak perlu membayar untuk menikmati keindahan pantai. Anda mungkin menemukan makanan lokal dan tradisional, …"
joree makagiansar,3 tahun lalu, 4 bintang ,"Bagi traveler yang akan ke pamekasan jangan lupa mampit di pantai batu kerbuy. Pantainya lumayan bagus. Pasirnya bukan putih, bukan juga hitam....tetapi bisa dipakai untuk berenang krn ombaknya tidak tinggi sehingga aman nagi anak-anak yang …"
Ali Kinang,3 tahun lalu, 5 bintang ,
Moh Ramly,3 tahun lalu, 5 bintang ,
20_094_Firdaus Yoga Wibowo,3 tahun lalu, 2 bintang ,Disana hanya karang.. dan di sungainya ada perahu yang sedang melabu
