name,rating,review,duration
Mael Baong,4 hari lalu, 4 bintang ,
mutiara mandiri scaffolding,seminggu lalu, 5 bintang ,
zei ulhak,2 minggu lalu, 1 bintang ,G ada alasan untuk datang kesana lagi
Anik Zaenab Djaelani (Amz),3 minggu lalu, 5 bintang ,
Percikan Hati,3 minggu lalu, 5 bintang ,
Adi Sucipto,3 minggu lalu, 4 bintang ,
febri andrianto,3 minggu lalu, 3 bintang ,
Lingga Kurniawan,4 minggu lalu, 4 bintang ,"perlu perawatan di lokasi wisata...
perlu menjaga kebersihan...
jembatan kayu sebaiknya diperbaiki agak tidak membahayakan pengunjung …"
Abdmalik asrdfzxysfkbxifsacmxviy vmgfcdscbcc,sebulan lalu, 3 bintang ,Sya masih baru pertama kali kesini jadi blum bisa menilai apa lgi tadi gk jadi wisatanya di tutup buat acara
Anisa Khoiriyah,sebulan lalu, 5 bintang ,Minusnya tempat duduk .
Hendra Susanto,sebulan lalu, 4 bintang ,"Cocok untuk menikmati sunset, ada yang jualan juga"
Rizky Amalia Jasmine,sebulan lalu, 5 bintang ,"- pantai kurang terawat, banyak rumput liar tapi ndapapa :3
- ngga bisa buat main air, foto-foto aja cukup sambil menikmati pemandangan yang ada hehe …"
Adss As,sebulan lalu, 4 bintang ,
wahyu kusumaningrum,sebulan lalu, 4 bintang ,Pemandangannya sebenarnya lumayan. Sayangnya tidak terawat
HARYADI KURNIAWAN,sebulan lalu, 5 bintang ,"Pantai jumiang kian berbenah sekarang ada tulisan ikoniknya, ada jembatan dipinggir pantai yang makin memanjang dan oke. Ada banana boats, wisata air, ayunan, dan cocok untuk sekedar menghabiskan waktu di Pamekasan yang terkenal sebagai kota pelajar dan batik ini."
Yanto Joger,sebulan lalu, 2 bintang ,Sebenarnya cukup bagus tapi sayang tak terawat dan minim fasilitas umum
Aprianto Zulkarnain,sebulan lalu, 5 bintang ,
Nurman Genisha,sebulan lalu, 5 bintang ,
mochammad riza,2 bulan lalu, 4 bintang ,Kebersihan perlu ditingkatkan & akses jalan masuk perlu diperbaiki serta PKL ditata lagi. Untuk tempat bilas diperbanyak
Badrus Sholihin,2 bulan lalu, 1 bintang ,
Miftah Ulum,2 bulan lalu, 3 bintang ,
yesinovitasimatupang 09,2 bulan lalu, 3 bintang ,"Biasa aja karena tidak pecinta pantai, laut lepas masih belum dikelola dengan baik, di sekitar pantai ada yg jual mie dan degan.dengan tiket masuk 2 rb"
Hanny Bella Prastika,2 bulan lalu, 5 bintang ,"(Diterjemahkan oleh Google) Bagus

(Asli)
Good"
Fitron dhafiri khairuddin,2 bulan lalu, 5 bintang ,
Rosie,2 bulan lalu, 3 bintang ,tangga nya bolong bolong hiks hiks
Hobi Tanam&Masak,2 bulan lalu, 5 bintang ,Suara gemuruh ombaknya yang membentur karang
Totok Kerot,2 bulan lalu, 5 bintang ,
MINI SPACE GAME,2 bulan lalu, 3 bintang ,"Lingkungan pantai masih cukup kotor, kurangnya petugas kebersihan. Untuk tempat sampah saya rasa sudah cukup, hanya saja kurangnya kesadaran pengunjung untuk membuang sampah pada tong sampah yang sudah disediakan."
Elza Kinan,2 bulan lalu, 4 bintang ,
Moh Rohim,3 bulan lalu, 5 bintang ,indah
Sambel Pecel,3 bulan lalu, 4 bintang ,
BT Management,3 bulan lalu, 1 bintang ,
Narendra Yendi Arrozan,3 bulan lalu, 5 bintang ,
Hanafi Tok,3 bulan lalu, 5 bintang ,
Ajaib123 Games,3 bulan lalu, 5 bintang ,
E. P.,3 bulan lalu, 3 bintang ,"Pantai ada pasirnya, bisa main dipinggir pantai, sayang kurang terawat"
Muhammad Lutfi,3 bulan lalu, 5 bintang ,
muhlizin alcatraz,3 bulan lalu, 5 bintang ,
maya tri wardani,4 bulan lalu, 4 bintang ,"Masih lumayan baguss, airnya bersih"
Rama Rame official,4 bulan lalu, 5 bintang ,
Muhammad Hamdani,4 bulan lalu, 5 bintang ,Lumayan bagus. Tapi pengelolaan perlu di perbaiki.
Muhammad Aminulloh,5 bulan lalu, 5 bintang ,"Banyakin pilihan makanan ajha dan lebih di perindah ☺☺, goodjob buat pak kebun"
abdur koboi,5 bulan lalu, 5 bintang ,Ya gimana ya👍
Hokky MancinG,5 bulan lalu, 5 bintang ,Tempat mancing
Anindya Andiny,6 bulan lalu, 3 bintang ,
Fajar Setya Adhi,6 bulan lalu, 5 bintang ,
Chusnul Hadi,6 bulan lalu, 5 bintang ,
sino bruno,6 bulan lalu, 4 bintang ,Bagus
Andi Sagitta,6 bulan lalu, 5 bintang ,
MASOK Pak,6 bulan lalu, 3 bintang ,Jln menuju pantai mohon di lebar biar bisa buat gantian untuk kendaraan roda 4
icha jessica,6 bulan lalu, 5 bintang ,Lumayan lah dengan harga masuk hanya 15rb 1 mobil... toilet agak jauh dkt pintu masuk dan sampah bertebaran dimana²... susah klo gak kesadaran dari diri kita sendiri untuk gak buang sampah sembarangan
Abdul Malik,6 bulan lalu, 5 bintang ,Siip
Nanang Triawan,6 bulan lalu, 5 bintang ,👍👍👍
Ist Amar,6 bulan lalu, 5 bintang ,Pemandangan indah pantai.. bersih dan alami
Siti Nur Halimah,6 bulan lalu, 5 bintang ,
Ernaaa Wati,7 bulan lalu, 5 bintang ,"Liburan bareng sama adek kesana kemarin,banyak yang baru jembatan nya juga bagus buat foto2."
