name,rating,review,duration
FR 021,2 bulan lalu, 5 bintang ,"(Diterjemahkan oleh Google) Oke

(Asli)
Ok"
Ajaib123 Games,3 bulan lalu, 5 bintang ,
Sabath Prasojo,5 bulan lalu, 5 bintang ,
Roche Andra,6 bulan lalu, 1 bintang ,rawan broo
Rabbani Steam Motor,9 bulan lalu, 5 bintang ,
Sang Satria,10 bulan lalu, 5 bintang ,
Sahrul Husaini,10 bulan lalu, 1 bintang ,Pantai jin
"Sugeng Setiyo Budi, S.Th.I",11 bulan lalu, 5 bintang ,"Pantai yang indah, namun sayang tidak dikelola dengan baik"
Sofi,11 bulan lalu, 5 bintang ,"Pantai Rongkang yang sesuai dengan namanya yang artinya adalah pantai karang. Berlokasi di daerah Kwanyar, pantai ini ramai pada saat Hari Raya Idul Fitri yang mana puncak keramaian adalah 7 hari dari Hari Raya Idul Fitri yang disebut Hari …"
isa isa,setahun lalu, 5 bintang ,
muhammad ichwan,setahun lalu, 5 bintang ,Akses jalannya sulit dari suramadu karena jalan ditutup pagar
Ubaj,setahun lalu, 4 bintang ,
Yaadi Rembees,setahun lalu, 5 bintang ,Tempat bagus. Tapi kurang perawatan
Alwi Hasni,setahun lalu, 1 bintang ,ini bukan obyek wisata
Hilda Zainal,setahun lalu, 5 bintang ,Tempat bagus banget asri sejuk dan dinging... foto lokasi sebrang pantai
Maryam Nabilah,setahun lalu, 3 bintang ,
Anis Setiyani,setahun lalu, 3 bintang ,
RAGIL SAPUTRA RONGGOLAWE,setahun lalu, 5 bintang ,
Sultan Salbut,setahun lalu, 3 bintang ,Skrg sepi banget... Dipinggir jln di penuhi sampah di sekitar pantai rongkang...
Nandana Abisatya,setahun lalu, 5 bintang ,"T4 nya bagussss... untuk foto foto ...Kemaren kita buat acara di sana ... halaman nya luas😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍
Tapi ada yg kurang ya itu kamar mandi cuman 1😔"
ZeZeiN kaLeM AbiezZ,2 tahun lalu, 5 bintang ,
andin “Oyenk” kusuma,2 tahun lalu, 2 bintang ,
Dayek Ari,2 tahun lalu, 5 bintang ,Yakin gak mau kesini???
Thea Domani,2 tahun lalu, 5 bintang ,
R_ J,2 tahun lalu, 4 bintang ,
Sohibul Izar,2 tahun lalu, 4 bintang ,
Mas Nur,2 tahun lalu, 2 bintang ,Mantep
Mohammad Efendy,2 tahun lalu, 5 bintang ,
Abdhira,2 tahun lalu, 1 bintang ,Tempat yg kurang rekomended
Wahyuricky Wijaya,2 tahun lalu, 3 bintang ,
Mohammad Lukmanul Hakim,2 tahun lalu, 5 bintang ,
Yopi Singkat,2 tahun lalu, 5 bintang ,Suka
Heni Hendriani,2 tahun lalu, 5 bintang ,
Fahrudin Romeli,2 tahun lalu, 3 bintang ,Butuh perhatian yg serius dari pemda setempat
Sukril Huda Al Jabouny,2 tahun lalu, 4 bintang ,"(Diterjemahkan oleh Google) Bagus

(Asli)
Good"
Udhin Sholeh,2 tahun lalu, 5 bintang ,bagus..
Geraldus D.Hindarto,2 tahun lalu, 2 bintang ,Kurang fasilitas
Endang Siswanti,2 tahun lalu, 3 bintang ,Sebenarnya eksotis dan bila ada dinas terkait bisa mengelola itu sangat menjual. Alami dan dekat jalan raya. Sayang klu kurang dirawat. Mohon yg bisa bantu untuk rekomendasikan di Disparta Kab Bangkalan🙏
Mohammad Rivan Ardana,2 tahun lalu, 5 bintang ,Senang sekali bisa kesitu
M Bas,2 tahun lalu, 2 bintang ,"Pantai ga terbuka, ga dikelola, baiknya waktu pagi jangan sore air pasang tertutup pantainya"
shobat production,2 tahun lalu, 5 bintang ,"(Diterjemahkan oleh Google) bagus

(Asli)
good"
M.Nur Qomaruddin,2 tahun lalu, 5 bintang ,
Abdul Qodir jailani,2 tahun lalu, 1 bintang ,
Eko Chandra,2 tahun lalu, 2 bintang ,
makarius yuwono,2 tahun lalu, 4 bintang ,
Umbara Sakti Mihardja,2 tahun lalu, 3 bintang ,"Akses jalan menuju pantai Rongkang menggunakan mobil tidak sulit, tetapi untuk mencari pintu masuknya sangat sulit bahkan tidak terlihat karena hanya terdapat plang kecil saja, sehingga tidak terlihat. Tidak terdapat lahan parkir, kalau mau …"
Jonathan Nugroho,2 tahun lalu, 2 bintang ,"(Diterjemahkan oleh Google) Banyak lalat dan nyamuk, mungkin karena pantainya masih baru (belum dikelola dengan baik) tidak ada toilet, tidak ada penjual makanan …"
chandra aditya,2 tahun lalu, 5 bintang ,
Zulviyandi “yayan” D,2 tahun lalu, 4 bintang ,Sayang tidak di seriusin untuk menjadi tujuan wisata....pantai karangnya masih alami dan akses kesana cukup membutuhkan usaha.
Ono saprol 99,2 tahun lalu, 1 bintang ,Jelek banyak sampah
Abd Hafid,2 tahun lalu, 5 bintang ,Pantai tellasan pettok
Nurun Nasihah,2 tahun lalu, 5 bintang ,
Mesfan Wahyudi,2 tahun lalu, 5 bintang ,Indah enak buat nyantai
Eko Sutiawan,2 tahun lalu, 4 bintang ,
aksar novansa,2 tahun lalu, 5 bintang ,Beautiful...tapi penerangan belum merata
Aminatull Hasanah,2 tahun lalu, 5 bintang ,
Citra Dewi,2 tahun lalu, 2 bintang ,
Luqman Amyhaki,2 tahun lalu, 5 bintang ,
anas zen,2 tahun lalu, 3 bintang ,lumayan bagus tp lokasi kotor bnyk sampah
Gading Yudha Pratama,2 tahun lalu, 1 bintang ,
Pelex Kwanyar,2 tahun lalu, 5 bintang ,Keren
Endy Safar,2 tahun lalu, 4 bintang ,
Musadi Febriono,2 tahun lalu, 2 bintang ,
Tony Adi Setiawan,2 tahun lalu, 5 bintang ,Airnya tenang
Najwa Najwa,2 tahun lalu, 5 bintang ,
didit mardika,3 tahun lalu, 3 bintang ,"banyak sampah,
mengganggu pemandangan"
tara mayang,3 tahun lalu, 5 bintang ,
Mas Amin,3 tahun lalu, 2 bintang ,"(Diterjemahkan oleh Google) Jangan kesini .. mandul .. airnya kotor

(Asli) …"
Abang falah Qila taqia,3 tahun lalu, 5 bintang ,
Gogor Bangsa,3 tahun lalu, 1 bintang ,"Pantai ini seharusnya punya pemandangan menarik, tapi keadaannya sangat kotor oleh sampah. Demikian juga lingkungan jalan sekitarnya banyak sekali sampah bertebaran. Sepertinya orang-orang membuang sampah di sepanjang jalan itu. …"
Nawi Gofur,3 tahun lalu, 5 bintang ,Mantap tempatnya indah
Gaara Aja,3 tahun lalu, 3 bintang ,
Sifana Ifan,3 tahun lalu, 3 bintang ,
Syukron Muchlis,3 tahun lalu, 1 bintang ,
Tri Alin Arsalaan,3 tahun lalu, 2 bintang ,"(Diterjemahkan oleh Google) Saya tidak akan mengatakan tempat ini sebagai pantai ini hanya pantai!
Pantai terburuk yang pernah saya lihat. 🤣 …"
vita ming,3 tahun lalu, 4 bintang ,
Aditama Bhaskara Jala Wicaksana,3 tahun lalu, 2 bintang ,
4ldera,3 tahun lalu, 3 bintang ,Kurang kebersihan nya
Hoirul Umam,3 tahun lalu, 5 bintang ,
WIDO SOERANTO,3 tahun lalu, 5 bintang ,Madih sepi
ikspi jaya ikspi ku,3 tahun lalu, 5 bintang ,
Sofi Achmey,3 tahun lalu, 2 bintang ,
Ach Basori,3 tahun lalu, 5 bintang ,"Pemandangannya bagus,masih asri,utamakan kalo berkunjung kesana seblom 7 hari stelah lebaran atau passeminggu stelah lebaran karena disana pasti ramai"
DJAPRAX,3 tahun lalu, 1 bintang ,Pantai ko tutup .dr pngelola na d Gembok pintu masuknya
Nazila NuAmoorea,3 tahun lalu, 3 bintang ,Ramai pengunjung hanya di 7hari setelah lebaran idul fitri
dedy bendot,3 tahun lalu, 5 bintang ,Perlunya pengelolahan dari pemerintah dan warga sekitar agar menarik pengunjung
Ochi Hermanto,3 tahun lalu, 2 bintang ,Akses masuknya tidak jelas
Om Danny,3 tahun lalu, 3 bintang ,Tidak ada petunjuk akses masuknya
Roy Saputro,3 tahun lalu, 4 bintang ,
Ronggo Djiwo,3 tahun lalu, 5 bintang ,
m.hanief Azhar,3 tahun lalu, 4 bintang ,"(Diterjemahkan oleh Google) Tempat indah ini untuk dinikmati, Anda dapat menyimpan hal-hal positif tetapi tempat ini tidak ada yang tahu …"
Alfie,3 tahun lalu, 1 bintang ,ketipu
Muhammad Indonisy,3 tahun lalu, 3 bintang ,Kurang fasilitas
A lpha,3 tahun lalu, 5 bintang ,
Nur Holipeh,3 tahun lalu, 5 bintang ,Mini Plant Rongkang 😘😘😘😘
Ads Form,3 tahun lalu, 4 bintang ,
Zelobi Omnivora Channel,3 tahun lalu, 1 bintang ,
LARE ANGON,3 tahun lalu, 3 bintang ,"Pantai nya kurang menarik soalnya dibiarkan ala kadarnya, bila dikelola dengan baik misalkan ada taman, ada toilet yang banyak,  tempat hiburan anak anak pasti bagus. Apalagi viewnya jembatan suramadu yang megah. Terus wisata naik perahu …"
Sony Sonhaji,3 tahun lalu, 4 bintang ,
Cah Djowo (Budi Utomo),3 tahun lalu, 2 bintang ,Masih sepi. Pas kesana gk nemu apa-apa... Tempatnya lumayan buat menyendiri
Timothy Kasiyono,3 tahun lalu, 3 bintang ,
ninda trianjasyani,3 tahun lalu, 5 bintang ,Pantainya masih asri dikarenakan belum d jadikan tempat pariwisata . Jadi anda dapat berkunjung tanpa merogoh kocek untuk membayar tiket masuk. Tempatnya berada di kwanyar barat . Mungkin jika d tambahkan sarana dan prasarana yang memadahi …
Uzlifa Jannah,3 tahun lalu, 5 bintang ,
Thomas Evrard,3 tahun lalu, 2 bintang ,"(Diterjemahkan oleh Google) tidak ada akses

(Asli)
no access"
Musarifa Rifa,3 tahun lalu, 4 bintang ,Bagus sujuk nyaman
Komariyatul Amila,3 tahun lalu, 4 bintang ,
HENDRIABB,3 tahun lalu, 5 bintang ,Oke
Aldhi Try,4 tahun lalu, 1 bintang ,
Edu play,4 tahun lalu, 3 bintang ,Indah
Hendra Setiawan,4 tahun lalu, 4 bintang ,"(Diterjemahkan oleh Google) Bagus

(Asli)
Nice"
Marohh Princess Keciel,4 tahun lalu, 1 bintang ,Ini tempat berbahaya😏
Clara Erryanti,4 tahun lalu, 2 bintang ,Gatau pintu masuknya dimana. Gaada petunjuknya.
Nur Maulana Iskhaq,4 tahun lalu, 2 bintang ,Panas
PUBI Island Company,4 tahun lalu, 5 bintang ,
Dika Es mie jelly motif,4 tahun lalu, 4 bintang ,Belum sempat mampir
Afrizal Hidayatullah,4 tahun lalu, 5 bintang ,
Refmon Tjhandra,4 tahun lalu, 5 bintang ,
Lan Ali,4 tahun lalu, 5 bintang ,Tempat rekreasi
hizby ponconugroho,4 tahun lalu, 5 bintang ,
Feri Sugiono,4 tahun lalu, 2 bintang ,"Pantainya jelek, sudah di tutup sama warga"
Adi Hariadi,4 tahun lalu, 3 bintang ,"tempatnya sepi, lumayan bagus, pantai karang, menurut informasi daerah agak rawan terutama pas sepi"
Munirullah Eri,4 tahun lalu, 5 bintang ,
Aris Utomo,4 tahun lalu, 5 bintang ,
Khoirul Anang,4 tahun lalu, 1 bintang ,
Nana “callmenana” Carlina,4 tahun lalu, 2 bintang ,"Belum jadi tempat wisata.
Hanya jadi jujugan buat para petualang😆 …"
neev Channel,4 tahun lalu, 3 bintang ,(Diterjemahkan oleh Google) Tanah persegi dari pantai rongkang adalah Tanah keluarga saya. Tempat yang bagus untuk menghirup udara segar. Jangan pergi ke sana sendirian. Kriminalitas kadang-kadang terjadi di sini. Hubungi teman setempat …
Khoirul Anam,4 tahun lalu, 4 bintang ,
Rofi Uddin Allahuy,4 tahun lalu, 5 bintang ,Waw
Chandra Widjaja,4 tahun lalu, 3 bintang ,
Fridinal Deleshef,4 tahun lalu, 5 bintang ,Sayangnya tidak terawat...
Efi Chamuut,4 tahun lalu, 5 bintang ,
Ahmad Puji,4 tahun lalu, 3 bintang ,"Jalan susah di lewati, mobil tidak bisa masuk"
Yunika Indra Fiana,4 tahun lalu, 4 bintang ,Bagus banget
Agus Safrianto,4 tahun lalu, 4 bintang ,
Derby Prayogo,4 tahun lalu, 4 bintang ,Bagus
tarjo punk,4 tahun lalu, 1 bintang ,
puji nurrahmawati,4 tahun lalu, 3 bintang ,
Kapten R0ssi,4 tahun lalu, 5 bintang ,
Ade Putra,4 tahun lalu, 4 bintang ,Indah
Jemmy Kalriyandoko,4 tahun lalu, 3 bintang ,Lumayan untuk santai
Evi Latuconsina,4 tahun lalu, 5 bintang ,
Shofi Sholfi,4 tahun lalu, 3 bintang ,
Ali Mufi,4 tahun lalu, 1 bintang ,itu bukan pantai tapi hutan
Juffry Ahmad,4 tahun lalu, 5 bintang ,"(Diterjemahkan oleh Google) nikr

(Asli)
nicr"
entop topan,4 tahun lalu, 5 bintang ,"(Diterjemahkan oleh Google) tidak ada apa pun di sini selain semak

(Asli)
nothing here but bush"
Tonnn,4 tahun lalu, 1 bintang ,
Andi Kusnadi,4 tahun lalu, 5 bintang ,ombak nya mantap
Arvand Firmansyah,4 tahun lalu, 2 bintang ,"(Diterjemahkan oleh Google) Tidak ada area parkir

(Asli)
No parking area"
GaNdEN,4 tahun lalu, 2 bintang ,Parkir di jalan... blm waktunya di kunjungi bus.
Muhaimin Farel,4 tahun lalu, 5 bintang ,
Laila Mufida,4 tahun lalu, 3 bintang ,Panas.
Aqua Ramadhan88,4 tahun lalu, 1 bintang ,
Binar Nazafarin,4 tahun lalu, 5 bintang ,
Recky Firdaus,4 tahun lalu, 4 bintang ,"Pantai Rongkang adalah pantai yang bertebing dan berkarang, dalam bahasa Indonesia Rongkang itu ialah bebatuan yang berongga dan berlubang. Kwanyar Barat desa dimana saya dilahirkan dan dibesarkan, tak akan habis jika dikenang walau di ujung dunia saya tinggal."
Yusuf Ibrahim,4 tahun lalu, 5 bintang ,Pantainya tersembunyi....belum dikembangkan
Haq Ult (Meme),4 tahun lalu, 1 bintang ,"Bukan pantai, tapi karang semua"
Novria Dedy Asihanto,4 tahun lalu, 2 bintang ,Kotor..
Ana Fadjar,4 tahun lalu, 5 bintang ,
Mariyati Linda,5 tahun lalu, 5 bintang ,Sy kira pantai putih
Regina Cynthia,5 tahun lalu, 2 bintang ,
Aditya Irwansyah,5 tahun lalu, 1 bintang ,"Saya kira pantai pasir putih atau pantai wisata. Ternyata waktu tanya penjaga pabrik katanya pantai berbatu dan gak bagus buat foto""."
Zain Zairo,5 tahun lalu, 4 bintang ,"Pantai yang berdekatan dengan Bukit ""Burung"".
banyak spot bagus untuk mengambil gambar. Sayang tidak dikelola dengan baik."
muhammad hafifi,5 tahun lalu, 5 bintang ,
Mughits Ahmad,5 tahun lalu, 2 bintang ,"(Diterjemahkan oleh Google) Tidak ada area parkir mobil, tidak ada fasilitas pariwisata, perlu dikembangkan. …"
Gita Rizki Firda,5 tahun lalu, 5 bintang ,Rumahku
Farrel Archad,5 tahun lalu, 1 bintang ,Pantainya jauh dan sangat jauh dari layak....
Ranno Sapulette,5 tahun lalu, 1 bintang ,Tempat mesum iyaa
Kina Madulegi,5 tahun lalu, 5 bintang ,
Erry Cristanto,5 tahun lalu, 1 bintang ,
rachmat arif,5 tahun lalu, 2 bintang ,Lumayan... Lumayan kotor mksdnya. 😁
Irfan Pradana,5 tahun lalu, 2 bintang ,"Bukan pantai, tapi karang batu.. Jauh2 dari Lamongan, kecewa"
agoest jayadi,5 tahun lalu, 4 bintang ,Pantai apa ini??? pantai mesum ..iyaaa... nyesel kesini
Nada Nikrul,5 tahun lalu, 5 bintang ,Beautiful beach
Kharisma Andi,5 tahun lalu, 2 bintang ,Pantai yang masih sepi pengunjung.
Vickry firmann,5 tahun lalu, 5 bintang ,
SLAM RIAN,5 tahun lalu, 4 bintang ,
Romi Aura,5 tahun lalu, 5 bintang ,Gue suka tempat ini
Jual Gitar Surabaya,5 tahun lalu, 4 bintang ,Lumayan
Fitri Nurjannah,5 tahun lalu, 5 bintang ,Indah
Muhammad Afiv,5 tahun lalu, 5 bintang ,
Lut-π,5 tahun lalu, 2 bintang ,
Mohamad Dimyati Yusuf,5 tahun lalu, 3 bintang ,
is dhuhrul,5 tahun lalu, 4 bintang ,
