name,rating,review,duration
Hedy Risman,9 jam lalu, 3 bintang ,"Lumayan bagus, banyak yg jual an Kalau pas liburan dan bisa buat kumpul kumpul ama keluarga makan bersama sambil duduk duduk menghadap pantai, tiket masuk murah ke kantong sesuai dengan Yg di dapatkan."
Jefry Aristia Putra,20 jam lalu, 4 bintang ,Cukup bagus.. fasilitas & wahana perlu di tingkatkan lagi.
itha ilfantari,21 jam lalu, 5 bintang ,"Pantainya cukup bersih dari sampah, banyak pohon cemara udang...."
sanny poetra,2 minggu lalu, 5 bintang ,
harry arie,2 minggu lalu, 5 bintang ,Masih bersih dan ada Sunsetnya
Sudi Laksono,2 minggu lalu, 4 bintang ,Pantai yg asri dgn pohon cemara udangnya dan gunung pasir putihnya.
Surya KC.,4 minggu lalu, 5 bintang ,
Rudi Jeepers,4 minggu lalu, 3 bintang ,
Fiki Maulana,4 minggu lalu, 5 bintang ,
Ossy Aida F,sebulan lalu, 4 bintang ,
Nur Rochmah Irawati,sebulan lalu, 5 bintang ,😍
Agung Thegreat,sebulan lalu, 3 bintang ,Pantai yg indah dan ckup nyaman
Rosyidi Lq official,sebulan lalu, 5 bintang ,
Roby Hidayat,sebulan lalu, 4 bintang ,
mufli only,sebulan lalu, 5 bintang ,"Pantai yg keceh,pasir bersih,alhamdulillah pas banyak kapal yg berjajar"
Gus Yanto,sebulan lalu, 5 bintang ,Bagus saat sun rise
Cak Fahmi Tibyan,sebulan lalu, 5 bintang ,Asyik buat mandi
aaguss taufiq,sebulan lalu, 5 bintang ,
zay milenial,sebulan lalu, 5 bintang ,Suasana pantai yang indah dengan bukit pasir menambah keindahannya
Sam Idi,2 bulan lalu, 5 bintang ,Saya sangat suka pantai slopeng
Muhammad Faiz,2 bulan lalu, 1 bintang ,
desa bulay,2 bulan lalu, 1 bintang ,
NHD Project,2 bulan lalu, 4 bintang ,Pantainya bagus cocok banget buat sunset lokasinya juga di pinggir jalan raya.
afifah 2214,2 bulan lalu, 5 bintang ,Anak pantai hari ini ...healing menikmati keindahan pantai slopeng sumenep madura ⛱️⛱️
febrilia nurul,2 bulan lalu, 4 bintang ,"Bagus pemandangannya. Tapi mahal tiket masuknya, 15rb per orang 😑"
Hanan Nuklir Surabaya,2 bulan lalu, 4 bintang ,👍
