name,rating,review,duration
akh mufris,2 jam lalu, 4 bintang ,Tempat wisata pantai dan hotel
Fauzan Abdulloh,2 hari lalu, 2 bintang ,
Mazvil Channel,5 hari lalu, 2 bintang ,Kawasan wisata kurang bagus karena pantainya kurang bersih
rachmat fudholy,seminggu lalu, 4 bintang ,
Erik Stiawan,seminggu lalu, 5 bintang ,Kurang bagus dengan banyaknya bambu2 yang di tancap2 kan itu
Hanachan,seminggu lalu, 5 bintang ,"Pantainya bisa dibilang bersih. Meski ada beberapa sampah snack, tapi masih bisa dinikmati. Btw, untuk tiket masuknya sekitar 15k-an/orang."
Suhardik Setyawan,seminggu lalu, 5 bintang ,
Bayu Purwoko,seminggu lalu, 4 bintang ,Nice. Kurang perawatan tapi
Muhammad mukti,seminggu lalu, 5 bintang ,"lumayan bersih pantainya. penjual makanan juga banyak, ya walaupun agak mahal khas harga kawasan wisata. untuk pantainya seperti kebanyakan pantai di sekitar pamekasan dan sampang bagian selatan, agak keruh."
fnynralfst,seminggu lalu, 5 bintang ,
Wahyu Aljamili,2 minggu lalu, 5 bintang ,
Nadjwa Haviz,2 minggu lalu, 5 bintang ,
king7mens,2 minggu lalu, 5 bintang ,"(Diterjemahkan oleh Google) Oke

(Asli)
Ok"
Rofi Raja,2 minggu lalu, 5 bintang ,Nnn
Suka Riyah,2 minggu lalu, 5 bintang ,
Aziz Uchiha,2 minggu lalu, 5 bintang ,
Sofi Yana,2 minggu lalu, 5 bintang ,"(Diterjemahkan oleh Google) Asikkkkk

(Asli)
Asikkkk"
Oyon Mulyono,2 minggu lalu, 3 bintang ,"Lumayan,,"
Udin Arroyyan,2 minggu lalu, 5 bintang ,"Pantai-Nya bagus untuk foto-foto,tapi sayangnya lingkungan kotor kayak gak ke urus gitu"
syba vlog,3 minggu lalu, 2 bintang ,"Penataan lingkungan masih kurang, mengecewakan"
hidayat tullah,3 minggu lalu, 5 bintang ,
Fahrul Ihza Ferdiansyah,3 minggu lalu, 5 bintang ,
Syarif Radin,3 minggu lalu, 5 bintang ,Seneng nya di pantai... kata El Banjir
Rhofie Muarif,3 minggu lalu, 3 bintang ,Pantainya kurang terawat  jadi ramenya pas hari² besar aj
Umi Yasri,3 minggu lalu, 3 bintang ,
Sulaiman Fadli,3 minggu lalu, 5 bintang ,Sudah lumayan bagus. Tp tempat sampah tidak ada.
Umar Muchtar TM,4 minggu lalu, 5 bintang ,
Fans Naisa N.A.Y,sebulan lalu, 1 bintang ,
Faris Pratama,sebulan lalu, 5 bintang ,Pantainya bagus
JOKO PURNOMO,sebulan lalu, 2 bintang ,Bagus dan Bersih
Nur Rahman,sebulan lalu, 4 bintang ,"Assalamualaikum wr,wbr
Sebenarnya saya sudah lama tau tentang tempat ini sejak kecil tapi entah ko baru sekarang Alloh SWT ijinkan tuk mampir …"
Mauli dhiyah,sebulan lalu, 3 bintang ,
Sartono Goendoel,sebulan lalu, 5 bintang ,
sulton dedi wijaya,sebulan lalu, 4 bintang ,Tempat yang pas untuk healing. Pantainya landai berpasir meskipun sedikit bercampur sedikit lumpur dan banyak lubang hewan kecil. Jadi pas jalan agak terasa gmn gitu dikaki. …
Husnul Hotimah,sebulan lalu, 4 bintang ,
Mahardika Kurnia Dewantara,sebulan lalu, 5 bintang ,"Pernah kesini diajak dosen di tahun 2016
Pantainya luas sekali
Kurang dalem sih …"
Farid Wajidi,sebulan lalu, 4 bintang ,Asik untuk refresing.
Muhammad Besis,sebulan lalu, 5 bintang ,"(Diterjemahkan oleh Google) Sempurna

(Asli)
Perfect"
Ahmad Hasan,sebulan lalu, 3 bintang ,
Rosidah Syifawafi,sebulan lalu, 3 bintang ,Tempatnya kurang rapi dan terkesan kotor dan singup
Fachry Rangga,sebulan lalu, 5 bintang ,
Ferie Soraya,sebulan lalu, 5 bintang ,"Tempat wisata cocok untuk berakhir pekan, rindang, banyak penjual makanan khas Madura"
fariza azahra putrie EW78,sebulan lalu, 5 bintang ,
Mr.Dhanks T 451 K,sebulan lalu, 5 bintang ,
Nathan Sudira,sebulan lalu, 5 bintang ,
19 - Nurlita Safitri,sebulan lalu, 3 bintang ,
Santoso Msh,sebulan lalu, 5 bintang ,
Denny Abdurrachman,sebulan lalu, 5 bintang ,"Sebenernya bagus, tapi sayang kurang terurus.

Pantai indahnya ternoda sampah yang ada di mana-mana."
Nabila Ahda,sebulan lalu, 3 bintang ,
Deny Wahyudi,sebulan lalu, 5 bintang ,
Alfarisi Waris,sebulan lalu, 4 bintang ,
Wardatus Sholehah,sebulan lalu, 5 bintang ,
Mahendri Winata,sebulan lalu, 3 bintang ,"Harga tiket 15 ribu, harga ini lumayan mahal dibandingkan pantai lainnya

Dengan harga tersebut fasilitas tidak sesuai dan tidak terawat dengan baik …"
Maz Al,2 bulan lalu, 5 bintang ,
Raden Anyar,2 bulan lalu, 3 bintang ,
Poppy Putri,2 bulan lalu, 1 bintang ,Tempatnya jorok penuh sampahh ..
ascell karangpandan,2 bulan lalu, 5 bintang ,
ABLORI TRABHES,2 bulan lalu, 5 bintang ,
Idris Sirdi,2 bulan lalu, 5 bintang ,Liburan lebaran ketupat
Rifqi Mahendra,2 bulan lalu, 4 bintang ,
Fara 2016,2 bulan lalu, 3 bintang ,
Fah Roniy,2 bulan lalu, 5 bintang ,
Ironz MDR,2 bulan lalu, 1 bintang ,
Firmansah Sah,2 bulan lalu, 3 bintang ,Di pantai camplong lumayan buat liburan di hari raya.
Zainul Arifin,2 bulan lalu, 4 bintang ,"Sbnrnya tempat ini biasa dan tidak terlalu istimewa. Banyak warung² jual makanan dan minuman sebelum pintu masuk. Tp kurang tertata, kesannya seadanya. Tiket masuk masih terjangkau. Parkir mobil dan motor luas. Sayang masih kotor walaupun ada tempat sampah."
Atha Abirabbah (Aba Liza),2 bulan lalu, 3 bintang ,
Bogell Lapand Sembilan,2 bulan lalu, 5 bintang ,"Sangat Suka Sama Pelayanan nya Mas Nya Ramah"" asik juga"
Deddy Setiawan,2 bulan lalu, 4 bintang ,
Joko 95,2 bulan lalu, 5 bintang ,
Harun Alrasyid,2 bulan lalu, 4 bintang ,
Moh Syakir,2 bulan lalu, 5 bintang ,
Firman Darmawan,2 bulan lalu, 5 bintang ,"Pantai masih asri, belum tersentuh investor, dan toilet yg agak jauh....dan terbatas, makanan lumayan murah"
rudi sugianto,2 bulan lalu, 3 bintang ,
Ombyokan Alas Channel,2 bulan lalu, 5 bintang ,"(Diterjemahkan oleh Google) Bagus

(Asli)
Nice"
Agus Widodo,2 bulan lalu, 5 bintang ,
